source,crop_raw,crop_standard,records,first_year,last_year,states,districts,seasons,area_available,production_available,yield_available
ICRISAT_DLD_1966_2017,BARLEY,Barley,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,CASTOR,Castor,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,CHICKPEA,Chickpea,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,COTTON,Cotton,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,FINGER MILLET,Finger Millet,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,FODDER,Fodder,2469,2010,2017,20,311,Annual,True,False,False
ICRISAT_DLD_1966_2017,FRUITS,Fruits,2469,2010,2017,20,311,Annual,True,False,False
ICRISAT_DLD_1966_2017,FRUITS AND VEGETABLES,Fruits and Vegetables,2469,2010,2017,20,311,Annual,True,False,False
ICRISAT_DLD_1966_2017,GROUNDNUT,Groundnut,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,KHARIF SORGHUM,Kharif Sorghum,2469,2010,2017,20,311,Kharif,True,True,True
ICRISAT_DLD_1966_2017,LINSEED,Linseed,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,MAIZE,Maize,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,MINOR PULSES,Minor Pulses,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,OILSEEDS,Oilseeds,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,ONION,Onion,2469,2010,2017,20,311,Annual,True,False,False
ICRISAT_DLD_1966_2017,PEARL MILLET,Pearl Millet,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,PIGEONPEA,Pigeonpea,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,POTATOES,Potatoes,2469,2010,2017,20,311,Annual,True,False,False
ICRISAT_DLD_1966_2017,RABI SORGHUM,Rabi Sorghum,2469,2010,2017,20,311,Rabi,True,True,True
ICRISAT_DLD_1966_2017,RAPESEED AND MUSTARD,Rapeseed and Mustard,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,RICE,Rice,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,SAFFLOWER,Safflower,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,SESAMUM,Sesamum,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,SORGHUM,Sorghum,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,SOYABEAN,Soyabean,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,SUGARCANE,Sugarcane,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,SUNFLOWER,Sunflower,2469,2010,2017,20,311,Annual,True,True,True
ICRISAT_DLD_1966_2017,VEGETABLES,Vegetables,2469,2010,2017,20,311,Annual,True,False,False
ICRISAT_DLD_1966_2017,WHEAT,Wheat,2469,2010,2017,20,311,Annual,True,True,True
