crop,yield_mean_kg_ha,yield_median_kg_ha,yield_std_kg_ha,yield_min_kg_ha,yield_max_kg_ha,yield_iqr_kg_ha,yield_cv,zero_yield_pct,active_districts
Barley,2274.08,2304.32,949.53,200.0,7119.97,1545.58,0.4175,53.07,159
Castor,834.38,600.0,646.1,55.56,3737.23,585.85,0.7744,62.58,155
Chickpea,984.51,971.12,398.53,78.43,5000.0,493.28,0.4048,13.82,285
Cotton,390.74,357.48,328.0,0.28,2857.74,318.2,0.8394,53.24,175
Finger Millet,1214.4,1001.99,705.18,156.25,4440.0,749.61,0.5807,68.23,129
Fodder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Fruits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Fruits and Vegetables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Groundnut,1452.16,1335.45,655.78,45.01,4313.05,845.25,0.4516,23.91,266
Kharif Sorghum,1147.39,1027.66,568.38,62.83,3964.29,658.21,0.4954,38.06,232
Linseed,598.31,500.0,409.31,21.58,7000.0,443.13,0.6841,60.41,182
Maize,2534.49,2125.59,1607.41,41.91,21428.57,1558.32,0.6342,8.65,296
Minor Pulses,758.75,651.39,863.31,43.01,18888.89,379.14,1.1378,10.69,310
Oilseeds,1235.11,1038.98,1388.78,27.85,18147.8,741.09,1.1244,38.9,297
Onion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Pearl Millet,1305.02,1135.94,697.8,0.84,10000.0,1016.53,0.5347,41.09,225
Pigeonpea,875.65,838.66,434.22,74.15,3827.59,483.69,0.4959,17.13,286
Potatoes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rabi Sorghum,1205.56,1000.0,935.03,29.32,6000.0,662.67,0.7756,76.16,98
Rapeseed and Mustard,962.48,935.75,484.76,25.68,2714.29,725.37,0.5037,23.53,276
Rice,2280.83,2282.89,918.26,90.0,4816.27,1115.81,0.4026,9.56,293
Safflower,660.57,612.2,369.27,50.0,4166.67,390.63,0.559,83.8,100
Sesamum,432.0,381.23,283.52,1.66,6625.0,305.59,0.6563,15.69,296
Sorghum,1130.43,1000.0,647.19,62.83,5742.59,631.91,0.5725,33.62,232
Soyabean,1088.1,1000.0,472.27,83.33,3884.06,646.25,0.434,56.67,173
Sugarcane,6285.79,6408.64,2736.19,100.0,22062.3,3126.21,0.4353,19.78,278
Sunflower,1078.12,1047.62,492.65,43.48,3029.41,770.83,0.457,56.54,191
Vegetables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Wheat,2504.12,2439.43,1102.37,129.87,5541.52,1693.56,0.4402,14.86,275
