crop,test_year,fold_id,algorithm,records_evaluated,empirical_coverage_pct,average_interval_width,interval_type,calibration_label
Oilseeds,2014,1,RandomForestRegressor,303,54.5,784.4,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Oilseeds,2015,2,RandomForestRegressor,307,55.4,894.5,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Oilseeds,2016,3,RandomForestRegressor,309,36.6,832.5,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Oilseeds,2017,4,RandomForestRegressor,307,62.9,850.7,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Kharif Sorghum,2014,1,RandomForestRegressor,304,74.7,628.7,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Kharif Sorghum,2015,2,RandomForestRegressor,309,77.3,608.7,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Kharif Sorghum,2016,3,RandomForestRegressor,310,71.9,561.3,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Kharif Sorghum,2017,4,RandomForestRegressor,307,67.8,508.8,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Maize,2014,1,RandomForestRegressor,301,64.5,1334.6,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Maize,2015,2,RandomForestRegressor,306,59.2,1244.0,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Maize,2016,3,RandomForestRegressor,305,58.0,1112.5,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Maize,2017,4,RandomForestRegressor,299,52.8,1197.0,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Rice,2014,1,RandomForestRegressor,304,64.1,620.2,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Rice,2015,2,RandomForestRegressor,310,53.2,545.6,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Rice,2016,3,RandomForestRegressor,311,60.1,677.3,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Rice,2017,4,RandomForestRegressor,307,63.2,652.0,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Sesamum,2014,1,RandomForestRegressor,304,63.2,291.4,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Sesamum,2015,2,RandomForestRegressor,309,66.3,288.4,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Sesamum,2016,3,RandomForestRegressor,310,67.1,267.4,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Sesamum,2017,4,RandomForestRegressor,306,62.4,254.7,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Pigeonpea,2014,1,RandomForestRegressor,304,53.6,523.3,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Pigeonpea,2015,2,RandomForestRegressor,310,62.3,525.1,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Pigeonpea,2016,3,RandomForestRegressor,311,54.7,487.3,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Pigeonpea,2017,4,RandomForestRegressor,307,63.5,574.1,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Rapeseed and Mustard,2014,1,RandomForestRegressor,304,62.8,387.1,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Rapeseed and Mustard,2015,2,RandomForestRegressor,310,72.3,384.0,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Rapeseed and Mustard,2016,3,RandomForestRegressor,311,52.1,280.5,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Rapeseed and Mustard,2017,4,RandomForestRegressor,307,63.5,425.8,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Groundnut,2014,1,RandomForestRegressor,304,68.8,603.0,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Groundnut,2015,2,RandomForestRegressor,309,64.4,556.7,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Groundnut,2016,3,RandomForestRegressor,310,64.8,594.5,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Groundnut,2017,4,RandomForestRegressor,306,54.9,553.0,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Sorghum,2014,1,RandomForestRegressor,303,74.6,521.8,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Sorghum,2015,2,RandomForestRegressor,309,67.0,467.9,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Sorghum,2016,3,RandomForestRegressor,310,71.6,462.9,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Sorghum,2017,4,RandomForestRegressor,307,64.2,478.2,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Pearl Millet,2014,1,RandomForestRegressor,301,75.1,556.7,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Pearl Millet,2015,2,RandomForestRegressor,307,78.2,611.0,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Pearl Millet,2016,3,RandomForestRegressor,310,76.8,602.9,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
Pearl Millet,2017,4,RandomForestRegressor,306,71.2,538.0,EMPIRICAL_ENSEMBLE_SPREAD,"Empirical ensemble interval, not a statistically calibrated prediction interval."
