crop,records,weather_coverage_pct,soil_coverage_pct,overall_exogenous_coverage_pct,missing_pct,district_coverage,year_coverage,coverage_status,audit_timestamp
Rice,2469,100.0,100.0,100.0,0.0,311,8,EXCELLENT_COVERAGE,2026-09-03T18:00:00Z
Wheat,2469,100.0,100.0,100.0,0.0,311,8,EXCELLENT_COVERAGE,2026-09-03T18:00:00Z
Kharif Sorghum,2469,100.0,100.0,100.0,0.0,311,8,EXCELLENT_COVERAGE,2026-09-03T18:00:00Z
Sorghum,2469,100.0,100.0,100.0,0.0,311,8,EXCELLENT_COVERAGE,2026-09-03T18:00:00Z
Pearl Millet,2469,100.0,100.0,100.0,0.0,311,8,EXCELLENT_COVERAGE,2026-09-03T18:00:00Z
Maize,2469,100.0,100.0,100.0,0.0,311,8,EXCELLENT_COVERAGE,2026-09-03T18:00:00Z
Chickpea,2469,100.0,100.0,100.0,0.0,311,8,EXCELLENT_COVERAGE,2026-09-03T18:00:00Z
Pigeonpea,2469,100.0,100.0,100.0,0.0,311,8,EXCELLENT_COVERAGE,2026-09-03T18:00:00Z
Minor Pulses,2469,100.0,100.0,100.0,0.0,311,8,EXCELLENT_COVERAGE,2026-09-03T18:00:00Z
Groundnut,2469,100.0,100.0,100.0,0.0,311,8,EXCELLENT_COVERAGE,2026-09-03T18:00:00Z
Sesamum,2469,100.0,100.0,100.0,0.0,311,8,EXCELLENT_COVERAGE,2026-09-03T18:00:00Z
Rapeseed and Mustard,2469,100.0,100.0,100.0,0.0,311,8,EXCELLENT_COVERAGE,2026-09-03T18:00:00Z
Oilseeds,2469,100.0,100.0,100.0,0.0,311,8,EXCELLENT_COVERAGE,2026-09-03T18:00:00Z
Sugarcane,2469,100.0,100.0,100.0,0.0,311,8,EXCELLENT_COVERAGE,2026-09-03T18:00:00Z
