crop,fold_id,test_year,experiment_id,experiment_name,feature_group,n_features,algorithm,test_records,mae,rmse,r2,mape,smape,baseline_mae,historical_mae,improvement_vs_baseline_pct,improvement_vs_historical_pct,win_vs_baseline,win_vs_historical
Oilseeds,1,2014,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,303,469.93,797.92,0.5983,41.01,67.58,459.45,469.93,-2.28,0.0,False,False
Oilseeds,1,2014,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,303,448.47,758.59,0.6369,39.34,64.1,459.45,469.93,2.39,4.57,True,True
Oilseeds,1,2014,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,303,458.7,796.59,0.5996,42.28,62.81,459.45,469.93,0.16,2.39,True,True
Oilseeds,1,2014,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,303,455.28,792.22,0.604,40.46,63.56,459.45,469.93,0.91,3.12,True,True
Oilseeds,1,2014,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,303,481.89,811.32,0.5847,43.75,69.18,459.45,469.93,-4.88,-2.54,False,False
Oilseeds,2,2015,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,307,521.48,698.76,0.6346,58.81,94.12,491.14,521.48,-6.18,0.0,False,False
Oilseeds,2,2015,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,307,502.35,669.78,0.6643,49.17,93.35,491.14,521.48,-2.28,3.67,False,True
Oilseeds,2,2015,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,307,492.37,637.56,0.6958,54.15,97.05,491.14,521.48,-0.25,5.58,False,True
Oilseeds,2,2015,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,307,489.67,639.88,0.6936,49.72,96.0,491.14,521.48,0.3,6.1,True,True
Oilseeds,2,2015,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,307,466.86,611.2,0.7204,49.92,95.53,491.14,521.48,4.94,10.47,True,True
Oilseeds,3,2016,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,309,732.97,1058.45,0.2835,30.8,182.42,778.92,732.97,5.9,0.0,True,False
Oilseeds,3,2016,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,309,926.17,1192.67,0.0903,36.76,182.89,778.92,732.97,-18.9,-26.36,False,False
Oilseeds,3,2016,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,309,695.36,1064.26,0.2756,29.63,182.63,778.92,732.97,10.73,5.13,True,True
Oilseeds,3,2016,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,309,839.7,1148.92,0.1558,28.4,182.28,778.92,732.97,-7.8,-14.56,False,False
Oilseeds,3,2016,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,309,822.76,1121.04,0.1963,27.86,182.25,778.92,732.97,-5.63,-12.25,False,False
Oilseeds,4,2017,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,307,471.31,1059.88,0.6649,33.32,184.23,736.88,471.31,36.04,0.0,True,False
Oilseeds,4,2017,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,307,589.51,1113.63,0.6301,26.31,183.18,736.88,471.31,20.0,-25.08,True,False
Oilseeds,4,2017,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,307,556.81,1059.97,0.6649,31.04,183.85,736.88,471.31,24.44,-18.14,True,False
Oilseeds,4,2017,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,307,560.81,1050.26,0.671,26.93,183.24,736.88,471.31,23.89,-18.99,True,False
Oilseeds,4,2017,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,307,568.35,1048.07,0.6724,26.91,183.26,736.88,471.31,22.87,-20.59,True,False
Chickpea,1,2014,EXP-22A,Historical Only (Model A),HISTORICAL,7,GradientBoostingRegressor,303,269.44,395.85,0.2976,44.28,60.51,280.39,269.44,3.91,0.0,True,False
Chickpea,1,2014,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,GradientBoostingRegressor,303,313.69,426.59,0.1842,51.23,61.92,280.39,269.44,-11.87,-16.42,False,False
Chickpea,1,2014,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,GradientBoostingRegressor,303,293.47,405.2,0.264,49.07,62.14,280.39,269.44,-4.67,-8.92,False,False
Chickpea,1,2014,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,GradientBoostingRegressor,303,326.1,438.31,0.1388,54.37,63.25,280.39,269.44,-16.3,-21.03,False,False
Chickpea,1,2014,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,GradientBoostingRegressor,303,320.67,433.4,0.158,53.33,63.03,280.39,269.44,-14.36,-19.02,False,False
Chickpea,2,2015,EXP-22A,Historical Only (Model A),HISTORICAL,7,GradientBoostingRegressor,310,235.21,347.69,0.3975,37.38,57.42,230.01,235.21,-2.26,0.0,False,False
Chickpea,2,2015,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,GradientBoostingRegressor,310,236.59,352.84,0.3795,36.85,57.38,230.01,235.21,-2.86,-0.59,False,False
Chickpea,2,2015,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,GradientBoostingRegressor,310,242.44,356.46,0.3667,37.38,56.76,230.01,235.21,-5.4,-3.07,False,False
Chickpea,2,2015,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,GradientBoostingRegressor,310,236.49,352.02,0.3824,36.22,56.58,230.01,235.21,-2.82,-0.54,False,False
Chickpea,2,2015,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,GradientBoostingRegressor,310,235.97,350.2,0.3887,36.92,56.93,230.01,235.21,-2.59,-0.32,False,False
Chickpea,3,2016,EXP-22A,Historical Only (Model A),HISTORICAL,7,GradientBoostingRegressor,310,325.24,466.5,0.2517,45.39,57.27,271.51,325.24,-19.79,0.0,False,False
Chickpea,3,2016,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,GradientBoostingRegressor,310,357.38,496.97,0.1507,48.33,59.87,271.51,325.24,-31.63,-9.88,False,False
Chickpea,3,2016,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,GradientBoostingRegressor,310,321.3,470.25,0.2396,44.53,56.12,271.51,325.24,-18.34,1.21,False,True
Chickpea,3,2016,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,GradientBoostingRegressor,310,350.09,492.05,0.1675,46.84,58.96,271.51,325.24,-28.94,-7.64,False,False
