crop,state,district,min_year,max_year,total_observations
Barley,Andhra Pradesh,Ananthapur,2010,2017,8
Barley,Andhra Pradesh,Chittoor,2010,2017,8
Barley,Andhra Pradesh,East Godavari,2010,2017,8
Barley,Andhra Pradesh,Guntur,2010,2017,8
Barley,Andhra Pradesh,Kadapa Ysr,2010,2017,8
Barley,Andhra Pradesh,Krishna,2010,2017,8
Barley,Andhra Pradesh,Kurnool,2010,2017,8
Barley,Andhra Pradesh,S.P.S. Nellore,2010,2017,8
Barley,Andhra Pradesh,Srikakulam,2010,2017,8
Barley,Andhra Pradesh,Visakhapatnam,2010,2017,8
Barley,Andhra Pradesh,West Godavari,2010,2017,8
Barley,Assam,Cachar,2010,2017,8
Barley,Assam,Darrang,2010,2017,8
Barley,Assam,Dibrugarh,2010,2017,8
Barley,Assam,Goalpara,2010,2017,8
Barley,Assam,Kamrup,2010,2017,8
Barley,Assam,Karbi Anglong,2010,2017,8
Barley,Assam,Lakhimpur,2010,2017,8
Barley,Assam,Nagaon,2010,2017,8
Barley,Assam,North Cachar Hil / Dima Hasao,2010,2017,8
Barley,Assam,Sibsagar,2010,2017,8
Barley,Bihar,Bhagalpur,2010,2017,8
Barley,Bihar,Champaran,2010,2017,8
Barley,Bihar,Darbhanga,2010,2017,8
Barley,Bihar,Gaya,2010,2017,8
Barley,Bihar,Mungair,2010,2017,8
Barley,Bihar,Muzaffarpur,2010,2017,8
Barley,Bihar,Patna,2010,2017,8
Barley,Bihar,Purnea,2010,2017,8
Barley,Bihar,Saharsa,2010,2017,8
Barley,Bihar,Saran,2010,2017,8
Barley,Bihar,Shahabad (Now Part Of Bhojpur District),2010,2017,8
Barley,Chhattisgarh,Bastar,2010,2017,8
Barley,Chhattisgarh,Bilaspur,2010,2017,8
Barley,Chhattisgarh,Durg,2010,2017,8
Barley,Chhattisgarh,Raigarh,2010,2017,8
Barley,Chhattisgarh,Raipur,2010,2017,8
Barley,Chhattisgarh,Surguja,2010,2017,8
Barley,Gujarat,Ahmedabad,2010,2017,8
Barley,Gujarat,Amreli,2010,2017,8
Barley,Gujarat,Banaskantha,2010,2017,8
Barley,Gujarat,Bharuch,2010,2017,8
Barley,Gujarat,Bhavnagar,2010,2017,8
Barley,Gujarat,Dangs,2010,2017,8
Barley,Gujarat,Jamnagar,2010,2017,8
Barley,Gujarat,Junagadh,2010,2017,8
Barley,Gujarat,Kheda,2010,2017,8
Barley,Gujarat,Kutch,2010,2017,8
Barley,Gujarat,Mehsana,2010,2017,8
Barley,Gujarat,Panchmahal,2010,2017,8
Barley,Gujarat,Rajkot,2010,2017,8
Barley,Gujarat,Sabarkantha,2010,2017,8
Barley,Gujarat,Surat,2010,2017,8
Barley,Gujarat,Surendranagar,2010,2017,8
Barley,Gujarat,Vadodara / Baroda,2010,2017,8
Barley,Gujarat,Valsad,2010,2017,8
Barley,Haryana,Ambala,2010,2017,8
Barley,Haryana,Gurgaon,2010,2017,8
Barley,Haryana,Hissar,2010,2017,8
