source,state,district_count,first_year,last_year,record_count
ICRISAT_DLD_1966_2017,Uttar Pradesh,46,2010,2017,10672
ICRISAT_DLD_1966_2017,Madhya Pradesh,37,2010,2017,8555
ICRISAT_DLD_1966_2017,Rajasthan,26,2010,2017,6032
ICRISAT_DLD_1966_2017,Maharashtra,26,2010,2017,5916
ICRISAT_DLD_1966_2017,Karnataka,19,2010,2017,4408
ICRISAT_DLD_1966_2017,Gujarat,18,2010,2017,4176
ICRISAT_DLD_1966_2017,West Bengal,15,2010,2017,3480
ICRISAT_DLD_1966_2017,Orissa,13,2010,2017,3016
ICRISAT_DLD_1966_2017,Bihar,11,2010,2017,2552
ICRISAT_DLD_1966_2017,Andhra Pradesh,11,2010,2017,2552
ICRISAT_DLD_1966_2017,Punjab,11,2010,2017,2523
ICRISAT_DLD_1966_2017,Tamil Nadu,12,2010,2017,2407
ICRISAT_DLD_1966_2017,Kerala,10,2010,2017,2320
ICRISAT_DLD_1966_2017,Assam,10,2010,2017,2320
ICRISAT_DLD_1966_2017,Himachal Pradesh,10,2010,2017,2320
ICRISAT_DLD_1966_2017,Telangana,9,2010,2017,2088
ICRISAT_DLD_1966_2017,Uttarakhand,8,2010,2017,1856
ICRISAT_DLD_1966_2017,Haryana,7,2010,2017,1624
ICRISAT_DLD_1966_2017,Chhattisgarh,6,2010,2017,1392
ICRISAT_DLD_1966_2017,Jharkhand,6,2010,2017,1392
