raw_state,standard_state,raw_district,standard_district,source,mapping_status,notes
Chhattisgarh,Chhattisgarh,Durg,Durg,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Chhattisgarh,Chhattisgarh,Bastar,Bastar,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Chhattisgarh,Chhattisgarh,Raipur,Raipur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Chhattisgarh,Chhattisgarh,Bilaspur,Bilaspur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Chhattisgarh,Chhattisgarh,Raigarh,Raigarh,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Chhattisgarh,Chhattisgarh,Surguja,Surguja,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Jabalpur,Jabalpur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Balaghat,Balaghat,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Chhindwara,Chhindwara,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Narsinghpur,Narsinghpur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Seoni / Shivani,Seoni / Shivani,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Mandla,Mandla,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Sagar,Sagar,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Damoh,Damoh,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Tikamgarh,Tikamgarh,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Chhatarpur,Chhatarpur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Panna,Panna,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Rewa,Rewa,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Sidhi,Sidhi,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Satna,Satna,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Shahdol,Shahdol,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Gwalior,Gwalior,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Shivpuri,Shivpuri,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Guna,Guna,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Datia,Datia,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Morena,Morena,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Bhind,Bhind,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Indore,Indore,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Ratlam,Ratlam,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Ujjain,Ujjain,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Mandsaur,Mandsaur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Dewas,Dewas,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Dhar,Dhar,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Jhabua,Jhabua,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Khargone / West Nimar,Khargone / West Nimar,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Khandwa / East Nimar,Khandwa / East Nimar,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Sehore,Sehore,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Raisen,Raisen,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Vidisha,Vidisha,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Betul,Betul,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Rajgarh,Rajgarh,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Shajapur,Shajapur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Madhya Pradesh,Madhya Pradesh,Hoshangabad,Hoshangabad,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Andhra Pradesh,Andhra Pradesh,Srikakulam,Srikakulam,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Andhra Pradesh,Andhra Pradesh,Visakhapatnam,Visakhapatnam,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Andhra Pradesh,Andhra Pradesh,East Godavari,East Godavari,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Andhra Pradesh,Andhra Pradesh,West Godavari,West Godavari,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Andhra Pradesh,Andhra Pradesh,Krishna,Krishna,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Andhra Pradesh,Andhra Pradesh,Guntur,Guntur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Andhra Pradesh,Andhra Pradesh,S.P.S. Nellore,S.P.S. Nellore,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Andhra Pradesh,Andhra Pradesh,Kurnool,Kurnool,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Andhra Pradesh,Andhra Pradesh,Ananthapur,Ananthapur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Andhra Pradesh,Andhra Pradesh,Kadapa YSR,Kadapa Ysr,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Andhra Pradesh,Andhra Pradesh,Chittoor,Chittoor,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Telangana,Telangana,Hyderabad,Hyderabad,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Telangana,Telangana,Nizamabad,Nizamabad,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Telangana,Telangana,Medak,Medak,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Telangana,Telangana,Mahabubnagar,Mahabubnagar,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Telangana,Telangana,Nalgonda,Nalgonda,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Telangana,Telangana,Warangal,Warangal,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Telangana,Telangana,Khammam,Khammam,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Telangana,Telangana,Karimnagar,Karimnagar,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Telangana,Telangana,Adilabad,Adilabad,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Bangalore,Bangalore,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Kolar,Kolar,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Tumkur,Tumkur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Mysore,Mysore,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Mandya,Mandya,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Hassan,Hassan,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Shimoge,Shimoge,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Chickmagalur,Chickmagalur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Chitradurga,Chitradurga,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Bellary,Bellary,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Dharwad,Dharwad,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Belgaum,Belgaum,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Bijapur / Vijayapura,Bijapur / Vijayapura,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Bidar,Bidar,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Raichur,Raichur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Gulbarga / Kalaburagi,Gulbarga / Kalaburagi,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Dakshina Kannada,Dakshina Kannada,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Uttara Kannada,Uttara Kannada,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Karnataka,Karnataka,Kodagu / Coorg,Kodagu / Coorg,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Tamil Nadu,Tamil Nadu,Chengalpattu MGR / Kanchipuram,Chengalpattu Mgr / Kanchipuram,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Tamil Nadu,Tamil Nadu,South Arcot / Cuddalore,South Arcot / Cuddalore,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Tamil Nadu,Tamil Nadu,North Arcot / Vellore,North Arcot / Vellore,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Tamil Nadu,Tamil Nadu,Salem,Salem,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Tamil Nadu,Tamil Nadu,Coimbatore,Coimbatore,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Tamil Nadu,Tamil Nadu,Tiruchirapalli / Trichy,Tiruchirapalli / Trichy,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Tamil Nadu,Tamil Nadu,Thanjavur,Thanjavur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Tamil Nadu,Tamil Nadu,Madurai,Madurai,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
