crop,state,district,observations_count,ml_mae,baseline_mae,ml_improvement_pct,ml_win_rate,is_best_ml_district,is_worst_ml_district,is_high_error_district
Minor Pulses,Andhra Pradesh,Ananthapur,4,206.76,128.66,-60.7,0.0,False,True,False
Minor Pulses,Andhra Pradesh,Chittoor,4,51.6,127.06,59.39,75.0,True,False,False
Minor Pulses,Andhra Pradesh,East Godavari,4,61.93,160.97,61.53,75.0,True,False,False
Minor Pulses,Andhra Pradesh,Guntur,4,222.01,343.07,35.29,100.0,True,False,False
Minor Pulses,Andhra Pradesh,Kadapa Ysr,4,53.19,80.11,33.6,75.0,True,False,False
Minor Pulses,Andhra Pradesh,Krishna,4,282.72,240.93,-17.35,25.0,False,True,False
Minor Pulses,Andhra Pradesh,Kurnool,4,311.45,430.24,27.61,50.0,False,False,False
Minor Pulses,Andhra Pradesh,S.P.S. Nellore,4,162.21,251.66,35.54,100.0,True,False,False
Minor Pulses,Andhra Pradesh,Srikakulam,4,76.93,59.96,-28.3,25.0,False,True,False
Minor Pulses,Andhra Pradesh,Visakhapatnam,4,103.97,72.64,-43.13,0.0,False,True,False
Minor Pulses,Andhra Pradesh,West Godavari,4,178.91,256.43,30.23,75.0,True,False,False
Minor Pulses,Assam,Cachar,4,122.39,133.85,8.56,50.0,False,False,False
Minor Pulses,Assam,Darrang,4,48.07,101.01,52.41,100.0,True,False,False
Minor Pulses,Assam,Dibrugarh,4,106.75,137.32,22.26,50.0,False,False,False
Minor Pulses,Assam,Goalpara,4,49.97,54.03,7.51,25.0,False,True,False
Minor Pulses,Assam,Kamrup,4,78.2,80.03,2.29,25.0,False,True,False
Minor Pulses,Assam,Karbi Anglong,4,60.58,64.5,6.08,50.0,False,False,False
Minor Pulses,Assam,Lakhimpur,4,109.29,127.22,14.09,25.0,False,True,False
Minor Pulses,Assam,Nagaon,4,112.95,125.99,10.35,50.0,False,False,False
Minor Pulses,Assam,North Cachar Hil / Dima Hasao,4,235.0,81.93,-186.83,50.0,False,True,False
Minor Pulses,Assam,Sibsagar,4,21.54,65.06,66.89,50.0,False,False,False
Minor Pulses,Bihar,Bhagalpur,4,102.4,113.23,9.56,50.0,False,False,False
Minor Pulses,Bihar,Champaran,4,194.68,232.65,16.32,50.0,False,False,False
Minor Pulses,Bihar,Darbhanga,4,40.36,18.64,-116.52,25.0,False,True,False
Minor Pulses,Bihar,Gaya,4,100.83,72.95,-38.22,50.0,False,True,False
Minor Pulses,Bihar,Mungair,4,181.87,162.76,-11.74,25.0,False,True,False
Minor Pulses,Bihar,Muzaffarpur,4,68.17,108.48,37.16,75.0,True,False,False
Minor Pulses,Bihar,Patna,4,247.29,202.81,-21.93,25.0,False,True,False
Minor Pulses,Bihar,Purnea,4,103.6,90.34,-14.68,25.0,False,True,False
Minor Pulses,Bihar,Saharsa,4,246.62,180.55,-36.59,25.0,False,True,False
Minor Pulses,Bihar,Saran,4,117.28,196.86,40.42,75.0,True,False,False
Minor Pulses,Bihar,Shahabad (Now Part Of Bhojpur District),4,114.26,129.09,11.49,50.0,False,False,False
