crop,selected_ml_model,total_folds,total_test_observations,historical_median_yield,ml_wins,ml_losses,win_rate,mean_mae_improvement_pct,median_mae_improvement_pct,worst_fold_degradation_pct,best_fold_improvement_pct,ml_mae_mean,ml_mae_median,ml_mae_std,ml_mae_min,ml_mae_max,ml_mae_cv,base_mae_mean,base_mae_median,base_mae_std,base_mae_min,base_mae_max,base_mae_cv,p25_error_ml,p50_error_ml,p75_error_ml,p90_error_ml,p95_error_ml,p25_error_base,p50_error_base,p75_error_base,p90_error_base,p95_error_base,pct_errors_lt_100,pct_errors_lt_250,pct_errors_lt_500,pct_errors_gt_1000,normalized_error_p50,normalized_error_p90
Minor Pulses,GradientBoostingRegressor,4,1232,601.94,2,2,50.0,-5.75,-7.69,-16.27,8.63,329.96,333.35,61.68,253.73,399.41,0.1869,315.0,343.53,63.77,219.6,353.34,0.2024,64.69,157.08,320.79,645.78,931.74,52.98,152.35,319.5,637.78,889.03,37.26,65.18,84.42,4.46,0.261,1.0728
Maize,RandomForestRegressor,4,1219,2000.0,1,3,25.0,-2.63,-3.05,-7.24,2.84,653.67,660.35,88.21,563.64,730.35,0.1349,639.91,634.67,108.84,540.62,749.69,0.1701,157.59,409.82,776.77,1453.05,2003.01,157.84,408.74,806.05,1401.62,1993.75,18.7,35.11,58.49,18.21,0.2049,0.7265
Rice,RandomForestRegressor,4,1232,2174.74,1,3,25.0,-8.39,-10.76,-12.75,0.69,336.35,342.2,47.5,276.3,384.7,0.1412,310.28,323.24,38.86,253.44,341.21,0.1252,88.01,219.58,451.1,782.72,1100.16,76.74,206.82,416.67,731.66,1012.16,27.44,55.03,77.76,5.68,0.101,0.3599
Sesamum,RandomForestRegressor,4,1230,318.56,1,3,25.0,-1.19,-2.22,-4.18,3.88,139.0,133.06,15.21,128.47,161.38,0.1094,137.38,133.0,14.33,125.35,158.17,0.1043,28.53,78.52,177.36,337.62,464.66,22.27,74.41,169.73,345.96,501.75,57.24,84.15,96.1,0.24,0.2465,1.0598
Chickpea,GradientBoostingRegressor,4,1231,878.13,3,1,75.0,2.31,6.11,-22.3,19.34,257.58,238.86,51.92,220.91,331.7,0.2016,263.88,272.55,23.23,229.56,280.84,0.088,57.46,173.95,365.56,578.35,726.19,56.91,190.91,366.76,588.3,778.35,35.82,61.17,85.54,2.03,0.1981,0.6586
Pigeonpea,GradientBoostingRegressor,4,1232,750.0,1,3,25.0,-5.63,-3.39,-16.12,0.39,293.14,286.08,44.87,246.19,354.23,0.1531,276.41,276.72,23.87,247.16,305.05,0.0864,77.66,209.98,409.29,693.36,836.25,56.44,184.71,403.67,670.89,868.07,28.57,57.14,82.39,3.08,0.28,0.9245
Wheat,GradientBoostingRegressor,4,1232,2082.46,2,2,50.0,-18.36,-20.81,-51.35,19.53,435.23,437.78,103.21,307.11,558.25,0.2371,381.65,375.25,86.9,282.2,493.91,0.2277,74.79,277.05,663.37,1096.13,1349.63,79.55,264.18,557.82,891.37,1201.42,29.63,46.59,66.88,13.07,0.133,0.5264
Oilseeds,RandomForestRegressor,4,1229,596.63,3,1,75.0,12.79,5.18,-2.34,43.13,465.23,461.88,204.27,218.59,718.59,0.4391,521.4,464.5,171.49,384.38,772.24,0.3289,37.85,310.7,618.2,1041.29,1368.74,32.45,297.47,724.69,1283.37,1749.31,33.12,45.16,66.88,11.07,0.5208,1.7453
Sugarcane,GradientBoostingRegressor,4,1208,5755.62,2,2,50.0,-1.6,-3.54,-10.19,10.84,1444.08,1402.2,161.07,1306.28,1665.64,0.1115,1431.02,1416.63,207.89,1209.4,1681.41,0.1453,264.07,837.58,2075.19,3423.06,4645.77,218.93,800.72,2062.64,3500.8,5076.94,11.01,23.92,37.67,45.86,0.1455,0.5947
Rapeseed and Mustard,GradientBoostingRegressor,4,1232,696.62,1,3,25.0,-10.8,-7.07,-37.39,8.34,207.44,205.47,21.84,183.98,234.83,0.1053,191.95,209.16,38.99,133.91,215.59,0.2031,32.06,129.21,295.96,486.76,700.97,20.9,109.78,272.15,500.0,666.67,44.16,69.72,90.99,2.19,0.1855,0.6987
Groundnut,RandomForestRegressor,4,1230,1037.01,1,3,25.0,-7.87,-6.62,-18.52,0.28,311.92,306.85,24.26,290.84,343.16,0.0778,289.68,286.33,21.26,269.13,316.91,0.0734,36.56,181.76,441.98,796.42,1044.53,25.78,165.41,393.32,767.96,1031.45,37.48,57.64,79.19,5.37,0.1753,0.768
Sorghum,RandomForestRegressor,4,1231,714.76,1,3,25.0,-3.5,-1.45,-13.24,2.13,274.04,263.64,36.79,241.89,326.98,0.1343,264.16,265.43,21.7,237.03,288.75,0.0821,0.0,121.38,388.77,737.63,1104.87,0.0,126.28,363.9,743.93,1037.02,46.71,65.07,81.4,5.77,0.1698,1.032
Kharif Sorghum,RandomForestRegressor,4,1231,666.67,2,2,50.0,1.3,0.79,-2.28,5.9,290.38,276.23,36.46,265.84,343.22,0.1256,293.85,288.07,30.35,263.71,335.55,0.1033,0.0,151.77,403.25,759.33,1122.36,0.0,158.56,421.62,782.16,1074.06,44.19,59.71,79.37,6.42,0.2277,1.139
Pearl Millet,RandomForestRegressor,4,1228,622.44,0,4,0.0,-6.04,-6.07,-8.03,-3.97,274.83,276.23,7.83,265.08,281.77,0.0285,259.23,258.83,8.49,249.43,269.82,0.0328,0.0,111.36,390.58,766.53,1030.14,0.0,121.06,358.03,693.3,991.03,48.45,64.41,81.68,5.29,0.1789,1.2315
