crop,feature,model,mean_importance,std_importance,mean_rank,rank_variance,feature_stability_score,interpretative_role
Minor Pulses,yield_lag_1,GradientBoostingRegressor,0.3622,0.0122,1.25,0.25,0.9,predictive contribution within the fitted model
Minor Pulses,yield_lag_2,GradientBoostingRegressor,0.0826,0.026,4.0,0.6667,0.8367,predictive contribution within the fitted model
Minor Pulses,yield_rolling_3yr_mean,GradientBoostingRegressor,0.2859,0.099,2.0,0.6667,0.8367,predictive contribution within the fitted model
Minor Pulses,area_lag_1,GradientBoostingRegressor,0.0747,0.0275,4.75,0.25,0.9,predictive contribution within the fitted model
Minor Pulses,state_encoded,GradientBoostingRegressor,0.0494,0.021,6.0,0.0,1.0,predictive contribution within the fitted model
Minor Pulses,year,GradientBoostingRegressor,0.1452,0.0605,3.0,0.6667,0.8367,predictive contribution within the fitted model
Maize,yield_lag_1,RandomForestRegressor,0.413,0.1591,1.25,0.25,0.9,predictive contribution within the fitted model
Maize,yield_lag_2,RandomForestRegressor,0.3245,0.2264,2.0,0.6667,0.8367,predictive contribution within the fitted model
Maize,yield_rolling_3yr_mean,RandomForestRegressor,0.1427,0.1266,3.25,0.9167,0.8085,predictive contribution within the fitted model
Maize,area_lag_1,RandomForestRegressor,0.0729,0.0104,3.5,0.3333,0.8845,predictive contribution within the fitted model
Maize,state_encoded,RandomForestRegressor,0.0261,0.0031,5.25,0.25,0.9,predictive contribution within the fitted model
Maize,year,RandomForestRegressor,0.0208,0.0036,5.75,0.25,0.9,predictive contribution within the fitted model
Rice,yield_lag_1,RandomForestRegressor,0.4812,0.0264,1.0,0.0,1.0,predictive contribution within the fitted model
Rice,yield_lag_2,RandomForestRegressor,0.2728,0.0181,2.0,0.0,1.0,predictive contribution within the fitted model
Rice,yield_rolling_3yr_mean,RandomForestRegressor,0.1366,0.0612,3.25,0.25,0.9,predictive contribution within the fitted model
Rice,area_lag_1,RandomForestRegressor,0.0914,0.0398,3.75,0.25,0.9,predictive contribution within the fitted model
Rice,state_encoded,RandomForestRegressor,0.0096,0.001,5.5,0.3333,0.8845,predictive contribution within the fitted model
Rice,year,RandomForestRegressor,0.0084,0.0052,5.5,0.3333,0.8845,predictive contribution within the fitted model
Sesamum,yield_lag_1,RandomForestRegressor,0.6066,0.0457,1.0,0.0,1.0,predictive contribution within the fitted model
Sesamum,yield_lag_2,RandomForestRegressor,0.1559,0.0643,2.25,0.25,0.9,predictive contribution within the fitted model
Sesamum,yield_rolling_3yr_mean,RandomForestRegressor,0.0656,0.0122,4.5,0.3333,0.8845,predictive contribution within the fitted model
Sesamum,area_lag_1,RandomForestRegressor,0.0894,0.0129,2.75,0.25,0.9,predictive contribution within the fitted model
Sesamum,state_encoded,RandomForestRegressor,0.066,0.0056,4.5,0.3333,0.8845,predictive contribution within the fitted model
Sesamum,year,RandomForestRegressor,0.0164,0.0052,6.0,0.0,1.0,predictive contribution within the fitted model
Chickpea,yield_lag_1,GradientBoostingRegressor,0.3886,0.1141,1.5,0.3333,0.8845,predictive contribution within the fitted model
Chickpea,yield_lag_2,GradientBoostingRegressor,0.0458,0.0193,5.0,1.3333,0.7691,predictive contribution within the fitted model
Chickpea,yield_rolling_3yr_mean,GradientBoostingRegressor,0.1017,0.009,3.0,0.0,1.0,predictive contribution within the fitted model
Chickpea,area_lag_1,GradientBoostingRegressor,0.3634,0.0992,1.5,0.3333,0.8845,predictive contribution within the fitted model
Chickpea,state_encoded,GradientBoostingRegressor,0.0479,0.005,5.25,0.25,0.9,predictive contribution within the fitted model
Chickpea,year,GradientBoostingRegressor,0.0526,0.0131,4.75,0.9167,0.8085,predictive contribution within the fitted model
Pigeonpea,yield_lag_1,GradientBoostingRegressor,0.5683,0.0291,1.0,0.0,1.0,predictive contribution within the fitted model
Pigeonpea,yield_lag_2,GradientBoostingRegressor,0.0723,0.0185,4.5,0.3333,0.8845,predictive contribution within the fitted model
Pigeonpea,yield_rolling_3yr_mean,GradientBoostingRegressor,0.1024,0.0138,3.0,0.0,1.0,predictive contribution within the fitted model
Pigeonpea,area_lag_1,GradientBoostingRegressor,0.1491,0.023,2.0,0.0,1.0,predictive contribution within the fitted model
Pigeonpea,state_encoded,GradientBoostingRegressor,0.0752,0.0079,4.5,0.3333,0.8845,predictive contribution within the fitted model
Pigeonpea,year,GradientBoostingRegressor,0.0326,0.0153,6.0,0.0,1.0,predictive contribution within the fitted model
Wheat,yield_lag_1,GradientBoostingRegressor,0.558,0.1292,1.25,0.25,0.9,predictive contribution within the fitted model
