crop,fold_id,train_start_year,train_end_year,test_year,train_samples,test_samples,model,mae,rmse,r2,mape,smape,best_baseline_model,best_baseline_mae,win_vs_baseline,mae_improvement_pct,mean_residual,std_residual
Minor Pulses,1,2011,2013,2014,926,304,Historical District Mean,348.9,541.83,0.1178,40.09,67.83,Naive Persistence,343.54,False,0.0,-69.37,537.37
Minor Pulses,1,2011,2013,2014,926,304,Naive Persistence,343.54,517.17,0.1962,37.58,68.43,Naive Persistence,343.54,False,0.0,-158.48,492.29
Minor Pulses,1,2011,2013,2014,926,304,Linear District Trend,404.34,694.17,-0.4481,59.81,70.45,Naive Persistence,343.54,False,0.0,-195.78,665.99
Minor Pulses,1,2011,2013,2014,926,304,RandomForestRegressor,298.72,522.88,0.1784,31.48,65.5,Naive Persistence,343.54,True,13.05,-79.56,516.79
Minor Pulses,1,2011,2013,2014,926,304,GradientBoostingRegressor,313.91,592.38,-0.0546,31.3,66.63,Naive Persistence,343.54,True,8.62,-67.71,588.5
Minor Pulses,2,2011,2014,2015,1230,310,Historical District Mean,280.63,500.97,-0.699,50.74,43.05,Naive Persistence,219.6,False,0.0,77.33,494.97
Minor Pulses,2,2011,2014,2015,1230,310,Naive Persistence,219.6,458.06,-0.4204,36.11,30.9,Naive Persistence,219.6,False,0.0,-3.14,458.05
Minor Pulses,2,2011,2014,2015,1230,310,Linear District Trend,384.35,573.89,-1.2296,65.4,72.85,Naive Persistence,219.6,False,0.0,44.97,572.13
Minor Pulses,2,2011,2014,2015,1230,310,RandomForestRegressor,272.4,430.79,-0.2563,45.74,44.55,Naive Persistence,219.6,False,-24.04,113.92,415.45
Minor Pulses,2,2011,2014,2015,1230,310,GradientBoostingRegressor,253.73,401.94,-0.0937,43.07,41.57,Naive Persistence,219.6,False,-15.54,117.37,384.42
Minor Pulses,3,2011,2015,2016,1540,311,Historical District Mean,353.34,977.02,0.1205,32.86,38.67,Historical District Mean,353.34,False,0.0,238.85,947.37
Minor Pulses,3,2011,2015,2016,1540,311,Naive Persistence,378.74,1066.0,-0.047,40.19,39.87,Historical District Mean,353.34,False,0.0,162.48,1053.55
Minor Pulses,3,2011,2015,2016,1540,311,Linear District Trend,487.57,1169.2,-0.2596,53.81,55.84,Historical District Mean,353.34,False,0.0,185.24,1154.43
Minor Pulses,3,2011,2015,2016,1540,311,RandomForestRegressor,376.08,1059.93,-0.0351,37.54,38.64,Historical District Mean,353.34,False,-6.44,195.1,1041.82
Minor Pulses,3,2011,2015,2016,1540,311,GradientBoostingRegressor,352.79,1056.94,-0.0293,34.24,34.97,Historical District Mean,353.34,True,0.16,174.2,1042.49
Minor Pulses,4,2011,2016,2017,1851,307,Historical District Mean,397.8,1383.85,0.2274,31.66,37.26,Naive Persistence,343.52,False,0.0,287.7,1353.61
Minor Pulses,4,2011,2016,2017,1851,307,Naive Persistence,343.52,1094.63,0.5166,32.96,32.98,Naive Persistence,343.52,False,0.0,79.88,1091.71
Minor Pulses,4,2011,2016,2017,1851,307,Linear District Trend,398.97,1234.44,0.3852,35.51,37.64,Naive Persistence,343.52,False,0.0,137.05,1226.81
Minor Pulses,4,2011,2016,2017,1851,307,RandomForestRegressor,407.54,1445.96,0.1565,43.11,34.14,Naive Persistence,343.52,False,-18.64,106.49,1442.04
Minor Pulses,4,2011,2016,2017,1851,307,GradientBoostingRegressor,399.41,1243.79,0.3758,44.7,35.72,Naive Persistence,343.52,False,-16.27,75.7,1241.49
Maize,1,2011,2013,2014,923,301,Historical District Mean,540.62,829.45,0.7198,25.87,29.65,Historical District Mean,540.62,False,0.0,144.5,816.76
Maize,1,2011,2013,2014,923,301,Naive Persistence,692.58,990.89,0.6001,29.78,39.71,Historical District Mean,540.62,False,0.0,-164.47,977.15
Maize,1,2011,2013,2014,923,301,Linear District Trend,751.87,1141.22,0.4695,38.4,35.17,Historical District Mean,540.62,False,0.0,-166.81,1128.96
Maize,1,2011,2013,2014,923,301,RandomForestRegressor,563.64,903.58,0.6675,26.69,30.18,Historical District Mean,540.62,False,-4.26,-5.83,903.56
Maize,1,2011,2013,2014,923,301,GradientBoostingRegressor,588.71,938.82,0.641,28.0,38.57,Historical District Mean,540.62,False,-8.9,-24.51,938.5
Maize,2,2011,2014,2015,1224,308,Historical District Mean,552.29,913.34,0.7147,29.9,29.94,Historical District Mean,552.29,False,0.0,37.24,912.58
Maize,2,2011,2014,2015,1224,308,Naive Persistence,690.31,1065.34,0.6119,31.65,37.86,Historical District Mean,552.29,False,0.0,-216.97,1043.01
Maize,2,2011,2014,2015,1224,308,Linear District Trend,688.37,1124.96,0.5672,40.04,34.67,Historical District Mean,552.29,False,0.0,-218.2,1103.6
Maize,2,2011,2014,2015,1224,308,RandomForestRegressor,592.28,957.67,0.6864,35.02,34.56,Historical District Mean,552.29,False,-7.24,-107.99,951.56
Maize,2,2011,2014,2015,1224,308,GradientBoostingRegressor,600.5,940.55,0.6975,35.78,40.88,Historical District Mean,552.29,False,-8.73,-138.41,930.31
Maize,3,2011,2015,2016,1532,307,Historical District Mean,717.06,1470.39,0.388,34.17,33.53,Historical District Mean,717.06,False,0.0,225.77,1452.95
Maize,3,2011,2015,2016,1532,307,Naive Persistence,918.12,1730.54,0.1523,37.15,43.03,Historical District Mean,717.06,False,0.0,48.4,1729.86
Maize,3,2011,2015,2016,1532,307,Linear District Trend,842.41,1758.02,0.1252,40.1,37.17,Historical District Mean,717.06,False,0.0,61.99,1756.93
Maize,3,2011,2015,2016,1532,307,RandomForestRegressor,730.35,1574.03,0.2987,34.91,40.08,Historical District Mean,717.06,False,-1.85,158.1,1566.07
Maize,3,2011,2015,2016,1532,307,GradientBoostingRegressor,767.83,1644.82,0.2342,36.93,41.2,Historical District Mean,717.06,False,-7.08,183.22,1634.58
Maize,4,2011,2016,2017,1839,303,Historical District Mean,749.69,1110.51,0.6652,36.88,34.12,Historical District Mean,749.69,False,0.0,569.34,953.46
Maize,4,2011,2016,2017,1839,303,Naive Persistence,917.15,1682.01,0.2318,37.8,41.16,Historical District Mean,749.69,False,0.0,254.09,1662.7
Maize,4,2011,2016,2017,1839,303,Linear District Trend,783.42,1294.93,0.5447,39.05,34.76,Historical District Mean,749.69,False,0.0,364.95,1242.44
Maize,4,2011,2016,2017,1839,303,RandomForestRegressor,728.42,1121.49,0.6585,38.51,34.09,Historical District Mean,749.69,True,2.84,427.65,1036.75
Maize,4,2011,2016,2017,1839,303,GradientBoostingRegressor,726.46,1133.76,0.651,38.55,39.34,Historical District Mean,749.69,True,3.1,349.36,1078.6
Rice,1,2011,2013,2014,926,304,Historical District Mean,253.44,391.06,0.8738,15.97,20.37,Historical District Mean,253.44,False,0.0,56.4,386.97
Rice,1,2011,2013,2014,926,304,Naive Persistence,427.39,730.05,0.5602,18.88,35.08,Historical District Mean,253.44,False,0.0,-139.21,716.65
Rice,1,2011,2013,2014,926,304,Linear District Trend,350.76,582.58,0.7199,24.42,24.79,Historical District Mean,253.44,False,0.0,-16.62,582.34
