crop,baseline_model,baseline_mae,baseline_rmse,baseline_r2,rf_mae,rf_rmse,rf_r2,gb_mae,gb_rmse,gb_r2,ml_winner,best_model,best_mae,best_rmse,best_r2,mae_improvement_vs_baseline,mae_improvement_pct,rmse_improvement_vs_baseline,model_status,recommendation,train_records,test_records,artifact_path,sha256
Minor Pulses,Historical District Mean,322.3,1208.09,0.1951,357.43,1231.36,0.1638,353.59,1263.63,0.1194,GradientBoostingRegressor,Historical District Mean,322.3,1208.09,0.1951,-31.29,-9.71,-55.54,BASELINE_PREFERRED,Baseline 'Historical District Mean' preferred; statistical baseline outperforms ML candidates on test set.,1330,600,Models/multicrop/minor_pulses/model_pipeline.pkl,ccdaad9f5d447682bc9b6d2f5faf243b2bc041e66f24b544c100a313234cd9ed
Maize,Historical District Mean,763.91,1336.73,0.4697,744.73,1401.15,0.4174,775.23,1438.61,0.3858,RandomForestRegressor,RandomForestRegressor,744.73,1401.15,0.4174,19.18,2.51,-64.42,ACCEPTED,Accept RandomForestRegressor candidate; demonstrates +2.5% MAE improvement over baseline.,1394,559,Models/multicrop/maize/model_pipeline.pkl,cbef4b2efb8401b39082cc9d223879ec4748a4438faeecf1d67f6ad0007621b1
Rice,Historical District Mean,367.49,511.63,0.6735,379.09,510.8,0.6746,390.76,512.47,0.6725,RandomForestRegressor,Historical District Mean,367.49,511.63,0.6735,-11.6,-3.16,0.83,BASELINE_PREFERRED,Baseline 'Historical District Mean' preferred; statistical baseline outperforms ML candidates on test set.,1392,557,Models/multicrop/rice/model_pipeline.pkl,b6dc4b131bbb41699bcc219c1a4b7c7bbb5e1f301abb485ddeddf50092f8688c
Sesamum,Historical District Mean,117.69,193.26,0.4574,114.62,185.98,0.4975,115.97,185.74,0.4988,RandomForestRegressor,RandomForestRegressor,114.62,185.98,0.4975,3.07,2.61,7.28,ACCEPTED,Accept RandomForestRegressor candidate; demonstrates +2.6% MAE improvement over baseline.,1268,531,Models/multicrop/sesamum/model_pipeline.pkl,671f9e490bb2145f225b7e8bd7ee1c6b50751247fe3ccae2f9d0816ae9e6acdb
Chickpea,Historical District Mean,274.42,410.14,0.1277,322.54,463.73,-0.1152,309.91,450.34,-0.0517,GradientBoostingRegressor,Historical District Mean,274.42,410.14,0.1277,-35.49,-12.93,-40.2,BASELINE_PREFERRED,Baseline 'Historical District Mean' preferred; statistical baseline outperforms ML candidates on test set.,1306,538,Models/multicrop/chickpea/model_pipeline.pkl,bb1ab2adcf68e706e32086f72afb0ee7ba26cfc08fb74831a00ed1e53904bd65
Pigeonpea,Naive Persistence (t-1),299.15,447.47,-0.0525,296.78,423.42,0.0576,295.41,426.61,0.0434,GradientBoostingRegressor,GradientBoostingRegressor,295.41,426.61,0.0434,3.74,1.25,20.86,ACCEPTED,Accept GradientBoostingRegressor candidate; demonstrates +1.2% MAE improvement over baseline.,1273,504,Models/multicrop/pigeonpea/model_pipeline.pkl,6572946c494d4f4e00ee13638d06738cc68ebd8f85f92e1b0244235703eceec0
Wheat,Naive Persistence (t-1),396.55,569.12,0.7556,535.5,670.35,0.6609,529.54,662.26,0.669,GradientBoostingRegressor,Naive Persistence (t-1),396.55,569.12,0.7556,-132.99,-33.54,-93.14,BASELINE_PREFERRED,Baseline 'Naive Persistence (t-1)' preferred; statistical baseline outperforms ML candidates on test set.,1308,516,Models/multicrop/wheat/model_pipeline.pkl,e19fcfb1e47ade8752fcf99f684d0a2faf337b0b223f143ee218c7abd63af2d9
Oilseeds,Naive Persistence (t-1),746.72,2041.8,0.7635,852.48,2281.34,0.7048,859.25,2243.41,0.7145,RandomForestRegressor,Naive Persistence (t-1),746.72,2041.8,0.7635,-105.76,-14.16,-239.54,BASELINE_PREFERRED,Baseline 'Naive Persistence (t-1)' preferred; statistical baseline outperforms ML candidates on test set.,1188,62,Models/multicrop/oilseeds/model_pipeline.pkl,fcb29e9bf8c182fbe0d31ec498daaf6cfd01d7516ffa92d653b0fdb901e33e93
Sugarcane,Naive Persistence (t-1),1126.31,1741.99,0.5605,1122.95,1658.98,0.6014,1121.27,1672.88,0.5947,GradientBoostingRegressor,GradientBoostingRegressor,1121.27,1672.88,0.5947,5.04,0.45,69.11,ACCEPTED,Accept GradientBoostingRegressor candidate; demonstrates +0.5% MAE improvement over baseline.,1206,467,Models/multicrop/sugarcane/model_pipeline.pkl,8394c5d9b6927f3ad372154f1a0be7806aeb8634c0513fa7dd1c5fe0e2e3cfc6
Rapeseed and Mustard,Naive Persistence (t-1),224.95,335.73,0.6039,256.52,346.03,0.5792,256.48,342.97,0.5867,GradientBoostingRegressor,Naive Persistence (t-1),224.95,335.73,0.6039,-31.53,-14.02,-7.24,BASELINE_PREFERRED,Baseline 'Naive Persistence (t-1)' preferred; statistical baseline outperforms ML candidates on test set.,1152,498,Models/multicrop/rapeseed_and_mustard/model_pipeline.pkl,4a6f4c235fd6331e41d9c7a17d411b63ed1f4aebd38a44aa75774a8e9a52f547
