crop,year,fold_id,ml_model,ml_mae,ml_rmse,baseline_model,baseline_mae,baseline_rmse,ml_improvement_pct,ml_win,temporal_regime
Minor Pulses,2014,1,GradientBoostingRegressor,313.91,592.38,Naive Persistence,343.54,517.17,8.63,True,ml_advantage
Minor Pulses,2015,2,GradientBoostingRegressor,253.73,401.94,Naive Persistence,219.6,458.06,-15.54,False,baseline_advantage
Minor Pulses,2016,3,GradientBoostingRegressor,352.79,1056.94,Historical District Mean,353.34,977.02,0.16,True,stable_year
Minor Pulses,2017,4,GradientBoostingRegressor,399.41,1243.79,Naive Persistence,343.52,1094.63,-16.27,False,baseline_advantage
Maize,2014,1,RandomForestRegressor,563.64,903.58,Historical District Mean,540.62,829.45,-4.26,False,stable_year
Maize,2015,2,RandomForestRegressor,592.28,957.67,Historical District Mean,552.29,913.34,-7.24,False,baseline_advantage
Maize,2016,3,RandomForestRegressor,730.35,1574.03,Historical District Mean,717.06,1470.39,-1.85,False,stable_year
Maize,2017,4,RandomForestRegressor,728.42,1121.49,Historical District Mean,749.69,1110.51,2.84,True,stable_year
Rice,2014,1,RandomForestRegressor,276.3,427.85,Historical District Mean,253.44,391.06,-9.02,False,baseline_advantage
Rice,2015,2,RandomForestRegressor,361.66,515.77,Historical District Mean,321.48,448.85,-12.5,False,baseline_advantage
Rice,2016,3,RandomForestRegressor,384.7,537.15,Historical District Mean,341.21,501.94,-12.75,False,baseline_advantage
Rice,2017,4,RandomForestRegressor,322.74,494.53,Historical District Mean,324.99,498.96,0.69,True,stable_year
Sesamum,2014,1,RandomForestRegressor,135.54,207.38,Historical District Mean,132.35,215.22,-2.41,False,stable_year
Sesamum,2015,2,RandomForestRegressor,128.47,195.08,Historical District Mean,133.66,210.84,3.88,True,stable_year
Sesamum,2016,3,RandomForestRegressor,130.59,205.19,Historical District Mean,125.35,207.07,-4.18,False,stable_year
Sesamum,2017,4,RandomForestRegressor,161.38,428.79,Historical District Mean,158.17,435.43,-2.03,False,stable_year
Chickpea,2014,1,GradientBoostingRegressor,255.41,377.61,Historical District Mean,280.84,413.35,9.06,True,ml_advantage
Chickpea,2015,2,GradientBoostingRegressor,222.3,320.77,Historical District Mean,229.56,342.49,3.16,True,stable_year
Chickpea,2016,3,GradientBoostingRegressor,331.7,474.86,Historical District Mean,271.23,421.57,-22.3,False,2016 high-error regime
Chickpea,2017,4,GradientBoostingRegressor,220.91,397.7,Historical District Mean,273.87,446.41,19.34,True,ml_advantage
Pigeonpea,2014,1,GradientBoostingRegressor,284.51,397.01,Historical District Mean,272.65,388.3,-4.35,False,stable_year
Pigeonpea,2015,2,GradientBoostingRegressor,246.19,340.04,Historical District Mean,247.16,349.36,0.39,True,stable_year
Pigeonpea,2016,3,GradientBoostingRegressor,354.23,494.61,Historical District Mean,305.05,449.73,-16.12,False,2016 high-error regime
Pigeonpea,2017,4,GradientBoostingRegressor,287.65,386.63,Linear District Trend,280.79,438.17,-2.44,False,stable_year
Wheat,2014,1,GradientBoostingRegressor,451.88,650.65,Historical District Mean,493.91,703.68,8.51,True,ml_advantage
Wheat,2015,2,GradientBoostingRegressor,423.68,620.62,Historical District Mean,282.2,455.14,-50.13,False,baseline_advantage
Wheat,2016,3,GradientBoostingRegressor,558.25,742.53,Historical District Mean,368.86,500.96,-51.35,False,2016 high-error regime
Wheat,2017,4,GradientBoostingRegressor,307.11,486.68,Historical District Mean,381.63,551.32,19.53,True,ml_advantage
Oilseeds,2014,1,RandomForestRegressor,470.22,748.28,Historical District Mean,459.45,735.48,-2.34,False,stable_year
Oilseeds,2015,2,RandomForestRegressor,453.53,660.42,Linear District Trend,469.55,740.31,3.41,True,stable_year
Oilseeds,2016,3,RandomForestRegressor,718.59,1054.13,Linear District Trend,772.24,1270.46,6.95,True,2016 high-error regime
