crop,total_eval_samples,mean_residual,median_residual,std_residual,mae,rmse,p25_abs_error,p50_abs_error,p75_abs_error,p90_abs_error,p95_abs_error,mae_q1_lowest_yield,mae_q2_lower_mid_yield,mae_q3_upper_mid_yield,mae_q4_highest_yield
Oilseeds,1226,313.79,297.47,863.02,549.48,918.3,165.5,370.61,728.23,1145.85,1471.74,593.3,,348.67,576.89
Chickpea,1229,-40.98,-4.67,403.45,260.25,405.52,50.0,185.05,367.49,569.03,777.9,254.92,160.35,226.3,399.46
Kharif Sorghum,1230,15.19,8.15,482.21,294.56,482.45,13.33,166.21,423.05,749.75,1072.23,157.92,288.84,300.53,504.07
Minor Pulses,1232,-134.33,-61.13,914.18,345.02,923.99,60.41,169.76,346.8,730.22,975.24,325.11,128.69,189.76,736.54
Maize,1211,-238.85,-141.41,1084.24,638.1,1110.24,155.41,407.27,803.28,1388.34,1984.01,409.26,453.6,518.05,1171.07
Wheat,1232,-36.06,-7.13,558.66,381.09,559.82,79.55,264.18,557.82,891.37,1201.42,244.04,375.96,398.73,505.64
Sugarcane,1193,149.93,122.72,2278.79,1457.66,2283.72,370.62,744.4,1894.47,3745.45,5336.11,1898.13,1072.85,1121.92,1736.24
Rice,1232,-66.6,-45.63,457.86,310.55,462.67,76.74,206.82,416.67,731.66,1012.16,289.61,296.79,295.35,360.43
Sesamum,1229,-14.73,0.0,283.88,137.4,284.26,22.22,74.39,169.76,346.06,501.91,164.23,76.17,95.67,213.44
Pigeonpea,1232,-33.94,0.0,405.7,282.36,407.12,60.79,192.6,412.01,671.1,877.39,265.71,197.82,202.51,464.26
Rapeseed and Mustard,1232,-8.93,0.0,311.11,193.22,311.23,21.56,108.27,267.72,500.0,677.54,131.45,169.43,198.36,273.64
Groundnut,1229,-14.64,0.0,462.24,287.41,462.47,25.67,165.33,392.17,765.57,1022.2,235.05,250.85,244.62,419.4
Sorghum,1229,6.98,0.0,453.22,264.12,453.27,0.0,126.28,363.89,745.15,1037.47,136.63,247.03,236.3,477.95
Pearl Millet,1224,4.18,0.0,499.54,260.26,499.56,0.0,121.06,358.03,693.88,999.29,158.46,268.32,235.83,455.26
