crop,district,state,observations,mean_residual,median_residual,mae,rmse,p90_error,is_high_error_district
Oilseeds,24 Parganas,West Bengal,4,444.64,201.08,444.64,675.7,1009.6,False
Oilseeds,Adilabad,Telangana,4,574.27,555.28,574.27,649.07,902.84,False
Oilseeds,Agra,Uttar Pradesh,4,739.31,659.02,739.31,899.48,1308.61,False
Oilseeds,Ahmedabad,Gujarat,4,340.02,191.98,512.54,706.05,1032.51,False
Oilseeds,Ahmednagar,Maharashtra,4,548.29,552.71,548.29,563.28,680.51,False
Oilseeds,Ajmer,Rajasthan,4,396.99,390.4,453.39,553.02,812.81,False
Oilseeds,Akola,Maharashtra,4,1172.62,1230.71,1172.62,1231.48,1548.4,True
Oilseeds,Alappuzha,Kerala,4,151.17,149.12,151.17,152.77,175.21,False
Oilseeds,Aligarh,Uttar Pradesh,4,746.92,649.2,746.92,905.56,1325.18,False
Oilseeds,Allahabad,Uttar Pradesh,4,442.42,416.66,442.42,497.99,689.23,False
Oilseeds,Almorah,Uttarakhand,4,147.22,275.73,389.25,409.45,510.27,False
Oilseeds,Alwar,Rajasthan,4,424.43,442.76,739.33,853.33,1169.53,False
Oilseeds,Amarawati,Maharashtra,4,948.06,790.37,948.06,1036.78,1429.57,True
Oilseeds,Ambala,Haryana,4,-190.57,-168.97,300.43,374.11,545.1,False
Oilseeds,Amreli,Gujarat,4,1206.55,1207.13,1517.64,1818.77,2666.57,True
Oilseeds,Amritsar,Punjab,4,187.92,269.29,411.0,453.17,595.34,False
Oilseeds,Ananthapur,Andhra Pradesh,4,44.45,-20.06,529.71,611.77,869.14,False
Oilseeds,Aurangabad,Maharashtra,4,852.34,906.68,852.34,871.5,1017.35,True
Oilseeds,Azamgarh,Uttar Pradesh,4,536.15,385.21,536.15,642.28,936.51,False
Oilseeds,Bahraich,Uttar Pradesh,4,477.67,461.08,477.67,517.25,689.5,False
Oilseeds,Balaghat,Madhya Pradesh,4,123.82,89.62,238.48,304.55,450.56,False
Oilseeds,Balasore,Orissa,4,-276.46,-295.84,276.46,300.29,392.81,False
Oilseeds,Ballia,Uttar Pradesh,4,555.58,391.64,555.58,669.34,977.42,False
Oilseeds,Banaskantha,Gujarat,4,497.3,776.56,947.56,1027.07,1305.4,True
Oilseeds,Banda,Uttar Pradesh,4,302.53,323.22,302.53,308.59,355.55,False
Oilseeds,Bangalore,Karnataka,4,240.19,192.77,240.19,290.52,423.57,False
Oilseeds,Bankura,West Bengal,4,272.56,172.45,283.04,407.09,614.78,False
Oilseeds,Banswara,Rajasthan,4,225.62,244.95,414.23,474.0,666.02,False
Oilseeds,Barabanki,Uttar Pradesh,4,436.1,453.98,436.1,455.96,570.33,False
Oilseeds,Bareilly,Uttar Pradesh,4,511.04,498.99,511.04,545.96,721.87,False
Oilseeds,Barmer,Rajasthan,4,307.32,267.24,363.49,449.92,656.37,False
Oilseeds,Bastar,Chhattisgarh,4,169.76,155.61,169.76,196.99,281.82,False
Oilseeds,Basti,Uttar Pradesh,4,506.53,462.82,506.53,548.74,745.41,False
Oilseeds,Beed,Maharashtra,4,941.83,1087.03,941.83,1015.93,1240.41,True
Oilseeds,Belgaum,Karnataka,4,471.3,590.77,516.11,584.82,770.89,False
