crop,year,fold_id,records,mean_residual,median_residual,mae,rmse,p90_abs_error,temporal_regime
Oilseeds,2014,1,303,156.86,94.08,469.93,797.92,1079.87,DROUGHT_SHOCK
Oilseeds,2015,2,307,268.18,202.3,521.48,698.76,1116.93,DROUGHT_SHOCK
Oilseeds,2016,3,309,635.66,584.99,732.97,1058.45,1336.28,RECOVERY_SHOCK
Oilseeds,2017,4,307,190.34,277.68,471.31,1059.88,864.31,NORMAL_HARVEST
Chickpea,2014,1,303,111.35,48.53,277.36,405.69,619.58,DROUGHT_SHOCK
Chickpea,2015,2,310,59.13,5.92,225.88,342.34,500.0,DROUGHT_SHOCK
Chickpea,2016,3,310,-149.09,-81.44,277.19,425.84,601.7,RECOVERY_SHOCK
Chickpea,2017,4,306,-183.7,-147.66,260.97,441.67,498.88,NORMAL_HARVEST
Kharif Sorghum,2014,1,304,31.17,9.67,288.62,475.87,698.55,DROUGHT_SHOCK
Kharif Sorghum,2015,2,309,130.37,20.08,290.98,470.98,721.3,DROUGHT_SHOCK
Kharif Sorghum,2016,3,310,41.59,6.93,255.69,426.89,641.25,RECOVERY_SHOCK
Kharif Sorghum,2017,4,307,-143.23,2.49,343.29,548.66,977.95,NORMAL_HARVEST
Minor Pulses,2014,1,304,69.37,-5.68,348.9,541.83,870.79,DROUGHT_SHOCK
Minor Pulses,2015,2,310,-77.33,-31.34,280.63,500.97,717.71,DROUGHT_SHOCK
Minor Pulses,2016,3,311,-238.85,-123.22,353.34,977.02,637.82,RECOVERY_SHOCK
Minor Pulses,2017,4,307,-287.7,-107.67,397.8,1383.85,642.73,NORMAL_HARVEST
Maize,2014,1,301,-141.4,-38.53,537.63,827.61,1285.66,DROUGHT_SHOCK
Maize,2015,2,306,-33.94,0.0,554.0,915.84,1200.48,DROUGHT_SHOCK
Maize,2016,3,305,-218.7,-176.95,713.22,1471.37,1450.3,RECOVERY_SHOCK
Maize,2017,4,299,-567.2,-408.74,748.67,1111.78,1595.48,NORMAL_HARVEST
Wheat,2014,1,304,294.17,65.22,493.91,703.68,1254.59,DROUGHT_SHOCK
Wheat,2015,2,310,63.69,59.94,282.2,455.14,657.12,DROUGHT_SHOCK
Wheat,2016,3,311,-258.18,-214.7,368.86,500.96,787.37,RECOVERY_SHOCK
Wheat,2017,4,307,-238.79,-215.47,381.63,551.32,857.01,NORMAL_HARVEST
Sugarcane,2014,1,293,-97.26,42.21,1287.04,1990.84,3379.45,DROUGHT_SHOCK
Sugarcane,2015,2,299,657.61,323.69,1753.1,2897.31,5517.62,DROUGHT_SHOCK
Sugarcane,2016,3,304,152.64,126.64,1347.74,1974.79,3442.29,RECOVERY_SHOCK
Sugarcane,2017,4,297,-120.09,-79.39,1441.05,2143.96,3522.96,NORMAL_HARVEST
Rice,2014,1,304,-56.4,-50.23,253.44,391.06,560.67,DROUGHT_SHOCK
Rice,2015,2,310,100.36,29.39,321.48,448.85,810.52,DROUGHT_SHOCK
Rice,2016,3,311,-162.81,-106.65,341.21,501.94,766.08,RECOVERY_SHOCK
Rice,2017,4,307,-147.81,-107.23,324.99,498.96,666.1,NORMAL_HARVEST
Sesamum,2014,1,304,33.12,0.0,132.35,215.22,316.78,DROUGHT_SHOCK
Sesamum,2015,2,309,20.52,3.69,133.66,210.84,374.7,DROUGHT_SHOCK
Sesamum,2016,3,310,-20.65,-1.45,125.35,207.07,346.0,RECOVERY_SHOCK
Sesamum,2017,4,306,-91.87,-25.33,158.4,436.11,333.76,NORMAL_HARVEST
Pigeonpea,2014,1,304,63.66,0.0,272.65,388.3,683.55,DROUGHT_SHOCK
Pigeonpea,2015,2,310,78.24,59.6,247.16,349.36,588.16,DROUGHT_SHOCK
Pigeonpea,2016,3,311,-144.5,-70.0,305.05,449.73,756.3,RECOVERY_SHOCK
Pigeonpea,2017,4,307,-131.88,-81.74,304.54,433.24,736.26,NORMAL_HARVEST
Rapeseed and Mustard,2014,1,304,87.67,0.0,204.63,335.6,541.04,DROUGHT_SHOCK
Rapeseed and Mustard,2015,2,310,42.16,0.0,133.91,231.77,346.89,DROUGHT_SHOCK
Rapeseed and Mustard,2016,3,311,-61.81,-39.03,213.68,329.14,516.45,RECOVERY_SHOCK
Rapeseed and Mustard,2017,4,307,-102.61,-68.36,221.08,336.47,515.06,NORMAL_HARVEST
Groundnut,2014,1,304,34.17,0.0,268.96,473.26,766.14,DROUGHT_SHOCK
Groundnut,2015,2,309,76.7,0.0,294.78,467.68,792.15,DROUGHT_SHOCK
Groundnut,2016,3,310,4.11,0.0,276.34,437.52,718.21,RECOVERY_SHOCK
Groundnut,2017,4,306,-174.35,-97.1,309.52,470.85,753.79,NORMAL_HARVEST
Sorghum,2014,1,303,-5.89,0.0,234.52,413.68,629.81,DROUGHT_SHOCK
Sorghum,2015,2,309,106.89,0.0,272.37,459.58,712.05,DROUGHT_SHOCK
Sorghum,2016,3,310,52.4,0.0,260.94,460.92,783.71,RECOVERY_SHOCK
Sorghum,2017,4,307,-126.75,0.0,288.26,475.88,884.96,NORMAL_HARVEST
Pearl Millet,2014,1,301,-27.27,0.0,260.02,488.71,681.25,DROUGHT_SHOCK
Pearl Millet,2015,2,307,109.2,0.0,250.79,401.78,659.28,DROUGHT_SHOCK
Pearl Millet,2016,3,310,10.04,0.0,268.43,619.52,732.37,RECOVERY_SHOCK
Pearl Millet,2017,4,306,-76.19,0.0,261.73,461.0,691.42,NORMAL_HARVEST
