record_id,source,dataset_version,country,state_raw,state,district_raw,district,year,season_raw,season,crop_raw,crop,area_ha,production_tonnes,yield_kg_ha
ICR_1_2010_RIC_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,RICE,Rice,777920.0,1319180.0,1695.77
ICR_1_2010_WHE_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,WHEAT,Wheat,46120.0,45870.0,994.69
ICR_1_2010_KHA_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Kharif,Kharif,KHARIF SORGHUM,Kharif Sorghum,230.0,320.0,1393.94
ICR_1_2010_RAB_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Rabi,Rabi,RABI SORGHUM,Rabi Sorghum,60.0,0.0,0.0
ICR_1_2010_SOR_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,SORGHUM,Sorghum,230.0,320.0,1393.94
ICR_1_2010_PEA_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,PEARL MILLET,Pearl Millet,1670.0,2410.0,1443.11
ICR_1_2010_MAI_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,MAIZE,Maize,3170.0,4630.0,1457.32
ICR_1_2010_FIN_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,FINGER MILLET,Finger Millet,0.0,0.0,0.0
ICR_1_2010_BAR_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,BARLEY,Barley,90.0,70.0,777.78
ICR_1_2010_CHI_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,CHICKPEA,Chickpea,184260.0,174840.0,948.89
ICR_1_2010_PIG_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,PIGEONPEA,Pigeonpea,13020.0,5240.0,402.03
ICR_1_2010_MIN_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,MINOR PULSES,Minor Pulses,180240.0,91250.0,506.28
ICR_1_2010_GRO_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,GROUNDNUT,Groundnut,510.0,960.0,1861.6
ICR_1_2010_SES_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,SESAMUM,Sesamum,2200.0,570.0,260.12
