crop,model,train_period,test_period,train_records,test_records,mae,rmse,r2,mape,smape,valid_predictions,invalid_predictions,notes,status
Barley,Naive Persistence (t-1),2010-2015,2016-2017,861,283,521.96,762.17,0.313,25.25,23.92,283,0,1-year historical district lag persistence,EVALUATED
Barley,Historical District Mean,2010-2015,2016-2017,861,283,539.03,748.66,0.3371,21.75,23.52,283,0,District historical mean (2010-2015),EVALUATED
Barley,Historical Crop Mean,2010-2015,2016-2017,861,283,877.96,1008.44,-0.2027,39.9,37.04,283,0,National historical crop mean (2010-2015),EVALUATED
Barley,Linear District Trend,2010-2015,2016-2017,861,283,734.82,965.76,-0.1031,31.04,33.46,283,0,Ordinary least squares district temporal trend,EVALUATED
Castor,Naive Persistence (t-1),2010-2015,2016-2017,676,225,226.45,364.65,0.7422,40.97,30.98,225,0,1-year historical district lag persistence,EVALUATED
Castor,Historical District Mean,2010-2015,2016-2017,676,225,215.43,342.76,0.7723,39.04,28.15,225,0,District historical mean (2010-2015),EVALUATED
Castor,Historical Crop Mean,2010-2015,2016-2017,676,225,525.95,718.53,-0.0008,95.31,60.38,225,0,National historical crop mean (2010-2015),EVALUATED
Castor,Linear District Trend,2010-2015,2016-2017,676,225,260.31,418.97,0.6597,45.13,34.52,225,0,Ordinary least squares district temporal trend,EVALUATED
Chickpea,Naive Persistence (t-1),2010-2015,2016-2017,1576,538,294.68,458.63,-0.0908,33.45,30.26,538,0,1-year historical district lag persistence,EVALUATED
Chickpea,Historical District Mean,2010-2015,2016-2017,1576,538,274.42,410.14,0.1277,29.83,26.06,538,0,District historical mean (2010-2015),EVALUATED
Chickpea,Historical Crop Mean,2010-2015,2016-2017,1576,538,332.69,469.75,-0.1444,38.24,31.12,538,0,National historical crop mean (2010-2015),EVALUATED
Chickpea,Linear District Trend,2010-2015,2016-2017,1576,538,394.56,615.98,-0.9677,41.74,41.89,538,0,Ordinary least squares district temporal trend,EVALUATED
Cotton,Naive Persistence (t-1),2010-2015,2016-2017,846,296,271.23,467.36,0.2192,1662.92,67.25,296,0,1-year historical district lag persistence,EVALUATED
Cotton,Historical District Mean,2010-2015,2016-2017,846,296,262.14,519.96,0.0335,2847.52,58.04,296,0,District historical mean (2010-2015),EVALUATED
Cotton,Historical Crop Mean,2010-2015,2016-2017,846,296,299.33,540.11,-0.0428,2528.84,67.78,296,0,National historical crop mean (2010-2015),EVALUATED
Cotton,Linear District Trend,2010-2015,2016-2017,846,296,296.3,557.42,-0.1107,3278.93,67.81,296,0,Ordinary least squares district temporal trend,EVALUATED
Finger Millet,Naive Persistence (t-1),2010-2015,2016-2017,583,190,384.01,639.32,0.3269,35.75,29.34,190,0,1-year historical district lag persistence,EVALUATED
Finger Millet,Historical District Mean,2010-2015,2016-2017,583,190,315.39,486.59,0.6101,31.14,24.57,190,0,District historical mean (2010-2015),EVALUATED
Finger Millet,Historical Crop Mean,2010-2015,2016-2017,583,190,548.34,780.3,-0.0027,64.4,43.77,190,0,National historical crop mean (2010-2015),EVALUATED
Finger Millet,Linear District Trend,2010-2015,2016-2017,583,190,345.68,540.11,0.5196,36.7,26.76,190,0,Ordinary least squares district temporal trend,EVALUATED
Fodder,All Baselines,2010-2015,2016-2017,0,0,,,,,,0,0,Insufficient train/test observations for out-of-time evaluation,INFEASIBLE
