district_id,state,district,year,preseason_rainfall_mm,preseason_rainfall_normal_mm,preseason_rainfall_anomaly_pct,preseason_temp_mean_c,preseason_temp_max_c,preseason_temp_min_c,preseason_temp_anomaly_c,preseason_soil_moisture_index,preseason_dry_spell_days,rainfall_lag1_annual_mm,irrigation_ratio_lag1,source_id
CHH_DUR_001,Chhattisgarh,Durg,1966,163.7,148.4,10.31,30.74,38.93,20.95,-0.32,0.4473,25,799.73,0.3352,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1967,158.54,148.4,6.83,30.73,38.91,20.95,-0.32,0.444,26,870.42,0.3307,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1968,156.21,148.4,5.26,31.09,39.33,21.24,0.03,0.4415,27,694.78,0.3213,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1969,160.0,148.4,7.82,30.15,38.2,20.51,-0.9,0.4421,24,574.58,0.3234,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1970,149.03,148.4,0.42,31.1,39.33,21.28,0.05,0.4319,28,615.72,0.3179,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1971,164.44,148.4,10.81,30.94,39.13,21.16,-0.11,0.4387,25,667.29,0.3208,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1972,147.19,148.4,-0.82,31.14,39.35,21.33,0.08,0.4231,28,543.99,0.3418,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1973,143.84,148.4,-3.07,31.04,39.21,21.26,-0.02,0.4166,29,565.6,0.3595,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1974,145.14,148.4,-2.2,30.78,38.9,21.07,-0.27,0.4132,28,663.16,0.3318,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1975,144.01,148.4,-2.96,30.47,38.51,20.83,-0.58,0.4085,27,482.48,0.349,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1976,145.45,148.4,-1.99,31.36,39.58,21.55,0.31,0.406,29,579.56,0.347,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1977,127.64,148.4,-13.99,31.04,39.18,21.3,-0.02,0.3914,31,560.74,0.3636,IMD_NASA_ICRISAT_INTEGRATED
