Unnamed: 0,Year,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),State_en
0,2010,Chhattisgarh,Durg,777.92,1319.18,1695.77,3
1,2011,Chhattisgarh,Durg,806.55,1416.48,1756.23,3
2,2012,Chhattisgarh,Durg,807.07,1534.22,1900.97,3
3,2013,Chhattisgarh,Durg,819.44,1296.24,1581.86,3
4,2014,Chhattisgarh,Durg,834.87,1444.24,1729.89,3
5,2015,Chhattisgarh,Durg,817.68,880.6,1076.95,3
6,2016,Chhattisgarh,Durg,858.91,1791.66,2085.96,3
7,2017,Chhattisgarh,Durg,841.13,983.21,1168.92,3
8,2010,Chhattisgarh,Bastar,621.89,1184.98,1905.45,3
9,2011,Chhattisgarh,Bastar,627.73,772.88,1231.23,3
10,2012,Chhattisgarh,Bastar,637.8,1341.33,2103.06,3
11,2013,Chhattisgarh,Bastar,642.79,1265.91,1969.4,3
12,2014,Chhattisgarh,Bastar,646.7,1377.04,2129.33,3
13,2015,Chhattisgarh,Bastar,644.56,664.46,1030.87,3
14,2016,Chhattisgarh,Bastar,656.26,1294.97,1973.24,3
15,2017,Chhattisgarh,Bastar,660.36,801.82,1214.23,3
16,2010,Chhattisgarh,Raipur,915.4,1521.13,1661.71,3
17,2011,Chhattisgarh,Raipur,958.01,1421.37,1483.67,3
18,2012,Chhattisgarh,Raipur,993.68,1974.69,1987.25,3
19,2013,Chhattisgarh,Raipur,1009.22,1749.21,1733.23,3
20,2014,Chhattisgarh,Raipur,1034.99,2127.73,2055.8,3
21,2015,Chhattisgarh,Raipur,986.91,1412.83,1431.57,3
22,2016,Chhattisgarh,Raipur,1009.29,2432.48,2410.09,3
23,2017,Chhattisgarh,Raipur,959.01,1520.95,1585.96,3
24,2010,Chhattisgarh,Bilaspur,705.67,1333.61,1889.83,3
25,2011,Chhattisgarh,Bilaspur,749.08,1557.35,2079.01,3
26,2012,Chhattisgarh,Bilaspur,747.27,1746.82,2337.61,3
27,2013,Chhattisgarh,Bilaspur,726.15,1577.16,2171.95,3
28,2014,Chhattisgarh,Bilaspur,728.84,1683.92,2310.43,3
29,2015,Chhattisgarh,Bilaspur,731.83,1340.65,1831.92,3
30,2016,Chhattisgarh,Bilaspur,727.5,1858.19,2554.21,3
31,2017,Chhattisgarh,Bilaspur,727.94,1295.71,1779.97,3
32,2010,Chhattisgarh,Raigarh,435.05,598.26,1375.15,3
33,2011,Chhattisgarh,Raigarh,421.32,602.66,1430.41,3
34,2012,Chhattisgarh,Raigarh,422.65,641.28,1517.28,3
35,2013,Chhattisgarh,Raigarh,418.44,580.76,1387.92,3
36,2014,Chhattisgarh,Raigarh,408.9,657.79,1608.68,3
37,2015,Chhattisgarh,Raigarh,409.45,414.89,1013.29,3
38,2016,Chhattisgarh,Raigarh,424.24,763.72,1800.23,3
39,2017,Chhattisgarh,Raigarh,411.12,623.29,1516.07,3
40,2010,Chhattisgarh,Surguja,371.28,399.46,1075.9,3
41,2011,Chhattisgarh,Surguja,377.14,530.08,1405.53,3
42,2012,Chhattisgarh,Surguja,373.71,610.07,1632.47,3
43,2013,Chhattisgarh,Surguja,371.71,633.47,1704.2,3
44,2014,Chhattisgarh,Surguja,381.43,687.04,1801.22,3
45,2015,Chhattisgarh,Surguja,369.32,440.9,1193.82,3
46,2016,Chhattisgarh,Surguja,376.38,652.25,1732.96,3
47,2017,Chhattisgarh,Surguja,377.07,524.07,1389.84,3
48,2010,Madhya Pradesh,Jabalpur,151.1,155.0,1025.81,10
49,2011,Madhya Pradesh,Jabalpur,157.6,204.5,1297.59,10
50,2012,Madhya Pradesh,Jabalpur,182.13,292.91,1608.25,10
51,2013,Madhya Pradesh,Jabalpur,188.69,364.36,1931.0,10
52,2014,Madhya Pradesh,Jabalpur,179.0,228.0,1273.74,10
53,2015,Madhya Pradesh,Jabalpur,169.0,189.33,1120.3,10
54,2016,Madhya Pradesh,Jabalpur,225.0,652.66,2900.71,10
55,2017,Madhya Pradesh,Jabalpur,210.2,526.17,2503.19,10
56,2010,Madhya Pradesh,Balaghat,247.9,353.0,1423.96,10
57,2011,Madhya Pradesh,Balaghat,246.7,336.2,1362.79,10
58,2012,Madhya Pradesh,Balaghat,260.77,486.46,1865.48,10
59,2013,Madhya Pradesh,Balaghat,258.65,434.08,1678.25,10
60,2014,Madhya Pradesh,Balaghat,245.0,449.33,1834.0,10
61,2015,Madhya Pradesh,Balaghat,266.0,445.33,1674.17,10
62,2016,Madhya Pradesh,Balaghat,272.0,675.33,2482.83,10
63,2017,Madhya Pradesh,Balaghat,220.21,395.48,1795.92,10
64,2010,Madhya Pradesh,Chhindwara,18.3,30.2,1650.27,10
65,2011,Madhya Pradesh,Chhindwara,20.2,43.0,2128.71,10
66,2012,Madhya Pradesh,Chhindwara,13.94,38.37,2752.51,10
67,2013,Madhya Pradesh,Chhindwara,13.81,28.05,2031.14,10
68,2014,Madhya Pradesh,Chhindwara,20.0,48.0,2400.0,10
69,2015,Madhya Pradesh,Chhindwara,31.0,54.0,1741.94,10
70,2016,Madhya Pradesh,Chhindwara,35.0,53.33,1523.71,10
71,2017,Madhya Pradesh,Chhindwara,34.01,42.06,1236.7,10
72,2010,Madhya Pradesh,Narsinghpur,12.5,19.5,1560.0,10
73,2011,Madhya Pradesh,Narsinghpur,12.0,21.5,1791.67,10
74,2012,Madhya Pradesh,Narsinghpur,12.91,17.21,1333.08,10
75,2013,Madhya Pradesh,Narsinghpur,18.36,24.99,1361.11,10
76,2014,Madhya Pradesh,Narsinghpur,18.0,25.33,1407.22,10
77,2015,Madhya Pradesh,Narsinghpur,34.0,89.33,2627.35,10
78,2016,Madhya Pradesh,Narsinghpur,55.0,154.66,2812.0,10
79,2017,Madhya Pradesh,Narsinghpur,39.1,181.3,4636.83,10
80,2010,Madhya Pradesh,Seoni / Shivani,116.3,153.9,1323.3,10
81,2011,Madhya Pradesh,Seoni / Shivani,121.2,176.4,1455.45,10
82,2012,Madhya Pradesh,Seoni / Shivani,136.55,281.01,2057.93,10
83,2013,Madhya Pradesh,Seoni / Shivani,150.24,440.99,2935.24,10
84,2014,Madhya Pradesh,Seoni / Shivani,139.0,199.33,1434.03,10
85,2015,Madhya Pradesh,Seoni / Shivani,169.0,238.67,1412.25,10
86,2016,Madhya Pradesh,Seoni / Shivani,182.0,450.0,2472.53,10
87,2017,Madhya Pradesh,Seoni / Shivani,133.13,319.98,2403.52,10
88,2010,Madhya Pradesh,Mandla,191.1,157.5,824.18,10
89,2011,Madhya Pradesh,Mandla,198.7,201.8,1015.6,10
90,2012,Madhya Pradesh,Mandla,210.44,212.69,1010.69,10
91,2013,Madhya Pradesh,Mandla,212.68,242.15,1138.56,10
92,2014,Madhya Pradesh,Mandla,209.0,274.0,1311.0,10
93,2015,Madhya Pradesh,Mandla,215.0,365.33,1699.21,10
94,2016,Madhya Pradesh,Mandla,227.0,440.66,1941.23,10
95,2017,Madhya Pradesh,Mandla,215.1,689.45,3205.25,10
96,2010,Madhya Pradesh,Sagar,6.0,4.5,750.0,10
97,2011,Madhya Pradesh,Sagar,3.4,2.7,794.12,10
98,2012,Madhya Pradesh,Sagar,5.26,3.33,633.08,10
99,2013,Madhya Pradesh,Sagar,4.78,2.09,437.24,10
100,2014,Madhya Pradesh,Sagar,5.0,5.33,1066.0,10
101,2015,Madhya Pradesh,Sagar,7.0,2.0,285.71,10
102,2016,Madhya Pradesh,Sagar,6.0,6.0,1000.0,10
103,2017,Madhya Pradesh,Sagar,5.06,5.69,1124.51,10
104,2010,Madhya Pradesh,Damoh,50.2,51.9,1033.86,10
105,2011,Madhya Pradesh,Damoh,55.8,59.5,1066.31,10
106,2012,Madhya Pradesh,Damoh,56.3,55.93,993.43,10
107,2013,Madhya Pradesh,Damoh,55.63,62.31,1120.08,10
108,2014,Madhya Pradesh,Damoh,66.0,70.67,1070.76,10
109,2015,Madhya Pradesh,Damoh,73.0,82.67,1132.47,10
110,2016,Madhya Pradesh,Damoh,80.0,150.0,1875.0,10
111,2017,Madhya Pradesh,Damoh,75.73,126.22,1666.71,10
112,2010,Madhya Pradesh,Tikamgarh,12.0,5.4,450.0,10
113,2011,Madhya Pradesh,Tikamgarh,11.7,8.5,726.5,10
114,2012,Madhya Pradesh,Tikamgarh,11.77,5.6,475.79,10
115,2013,Madhya Pradesh,Tikamgarh,11.41,4.01,351.45,10
116,2014,Madhya Pradesh,Tikamgarh,13.0,5.33,410.0,10
117,2015,Madhya Pradesh,Tikamgarh,6.0,0.67,111.67,10
118,2016,Madhya Pradesh,Tikamgarh,6.0,6.0,1000.0,10
119,2017,Madhya Pradesh,Tikamgarh,4.56,1.64,359.65,10
120,2010,Madhya Pradesh,Chhatarpur,8.9,5.5,617.98,10
121,2011,Madhya Pradesh,Chhatarpur,9.1,7.9,868.13,10
122,2012,Madhya Pradesh,Chhatarpur,5.79,2.17,374.78,10
123,2013,Madhya Pradesh,Chhatarpur,5.37,4.75,884.54,10
124,2014,Madhya Pradesh,Chhatarpur,10.0,8.67,867.0,10
125,2015,Madhya Pradesh,Chhatarpur,8.0,2.67,333.75,10
126,2016,Madhya Pradesh,Chhatarpur,8.0,8.66,1082.5,10
127,2017,Madhya Pradesh,Chhatarpur,6.33,2.98,470.77,10
128,2010,Madhya Pradesh,Panna,53.7,51.6,960.89,10
129,2011,Madhya Pradesh,Panna,61.3,61.0,995.11,10
130,2012,Madhya Pradesh,Panna,63.64,64.91,1019.96,10
131,2013,Madhya Pradesh,Panna,80.65,91.51,1134.66,10
132,2014,Madhya Pradesh,Panna,56.0,76.67,1369.11,10
133,2015,Madhya Pradesh,Panna,55.0,17.33,315.09,10
134,2016,Madhya Pradesh,Panna,69.0,179.33,2598.99,10
135,2017,Madhya Pradesh,Panna,58.4,140.2,2400.68,10
136,2010,Madhya Pradesh,Rewa,102.1,67.5,661.12,10
137,2011,Madhya Pradesh,Rewa,120.4,141.8,1177.74,10
138,2012,Madhya Pradesh,Rewa,123.51,199.65,1616.47,10
139,2013,Madhya Pradesh,Rewa,119.62,214.11,1789.92,10
140,2014,Madhya Pradesh,Rewa,136.0,246.0,1808.82,10
141,2015,Madhya Pradesh,Rewa,121.0,114.67,947.69,10
142,2016,Madhya Pradesh,Rewa,126.0,352.0,2793.65,10
144,2010,Madhya Pradesh,Sidhi,102.5,91.3,890.73,10
145,2011,Madhya Pradesh,Sidhi,87.8,84.5,962.41,10
146,2012,Madhya Pradesh,Sidhi,115.75,238.24,2058.23,10
147,2013,Madhya Pradesh,Sidhi,116.25,172.7,1485.59,10
148,2014,Madhya Pradesh,Sidhi,100.0,126.0,1260.0,10
149,2015,Madhya Pradesh,Sidhi,118.0,137.33,1163.81,10
150,2016,Madhya Pradesh,Sidhi,118.0,348.0,2949.15,10
151,2017,Madhya Pradesh,Sidhi,113.95,233.5,2049.14,10
152,2010,Madhya Pradesh,Satna,71.7,74.3,1036.26,10
