State Name,State Code,Dist Name,Year,Rice Area (1000 ha),Rice Production (1000 tons),Actual Yield (Kg/ha),Predicted Yield (Kg/ha),Residual (Kg/ha),Absolute Error (Kg/ha),Percentage Error (%)
Kerala,19,Alappuzha,2015,31.72,89.34,2816.52,2794.1,22.42,22.42,0.8
Uttar Pradesh,12,Buland Shahar,2014,119.04,308.09,2588.11,2506.63,81.48,81.48,3.15
Uttar Pradesh,12,Azamgarh,2015,292.99,533.16,1819.72,1826.34,-6.62,6.62,0.36
Uttar Pradesh,12,Lucknow,2011,51.58,103.6,2008.53,1943.91,64.62,64.62,3.22
Rajasthan,10,Swami Madhopur,2015,3.91,6.69,1711.0,1406.82,304.18,304.18,17.78
Maharashtra,7,Raigad,2016,113.3,309.1,2728.16,2597.51,130.65,130.65,4.79
Tamil Nadu,11,The Nilgiris,2011,0.4,1.65,4125.0,0.0,4125.0,4125.0,100.0
Gujarat,3,Rajkot,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telangana,20,Adilabad,2013,90.69,248.91,2744.62,2736.81,7.81,7.81,0.28
Madhya Pradesh,6,Ujjain,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Bengal,13,Nadia,2013,239.03,734.42,3072.5,2916.82,155.68,155.68,5.07
Kerala,19,Malappuram,2016,7.14,17.21,2410.5,2179.82,230.68,230.68,9.57
Maharashtra,7,Pune,2012,77.6,106.16,1368.04,1424.63,-56.59,56.59,4.14
Madhya Pradesh,6,Shajapur,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rajasthan,10,Udaipur,2016,5.17,6.19,1197.52,1054.9,142.62,142.62,11.91
Himachal Pradesh,18,Mandi,2013,19.35,23.33,1205.68,1099.68,106.0,106.0,8.79
Telangana,20,Hyderabad,2012,40.91,98.4,2405.28,2354.32,50.96,50.96,2.12
Uttar Pradesh,12,Kheri,2013,173.56,467.91,2695.96,2739.86,-43.9,43.9,1.63
Madhya Pradesh,6,Dewas,2017,0.1,0.07,730.0,0.0,730.0,730.0,100.0
Uttarakhand,16,Uttar Kashi,2015,10.74,18.98,1767.23,1616.34,150.89,150.89,8.54
Telangana,20,Khammam,2011,165.31,411.69,2490.41,2438.82,51.59,51.59,2.07
Maharashtra,7,Thane,2012,139.6,362.94,2599.86,2555.79,44.07,44.07,1.7
Chhattisgarh,14,Surguja,2013,371.71,633.47,1704.2,1694.77,9.43,9.43,0.55
Madhya Pradesh,6,Mandsaur,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bihar,2,Saharsa,2011,196.4,332.12,1691.04,1620.87,70.17,70.17,4.15
Himachal Pradesh,18,Kinnaur,2017,0.01,0.02,1571.43,0.0,1571.43,1571.43,100.0
Himachal Pradesh,18,Chamba,2017,2.49,3.0,1203.93,0.0,1203.93,1203.93,100.0
Rajasthan,10,Jodhpur,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punjab,9,Kapurthala,2011,118.0,433.0,3669.49,3618.63,50.86,50.86,1.39
Kerala,19,Alappuzha,2011,36.25,111.98,3089.1,2899.26,189.84,189.84,6.15
Tamil Nadu,11,South Arcot / Cuddalore,2017,294.85,1267.83,4299.84,4283.27,16.57,16.57,0.39
Uttar Pradesh,12,Meerut,2011,65.75,167.52,2547.97,2461.18,86.79,86.79,3.41
Karnataka,5,Dakshina Kannada,2015,98.3,253.36,2577.42,2494.93,82.49,82.49,3.2
Himachal Pradesh,18,Kinnaur,2010,0.02,0.02,1000.0,0.0,1000.0,1000.0,100.0
Uttar Pradesh,12,Allahabad,2012,195.08,527.66,2704.84,2650.93,53.91,53.91,1.99
Uttar Pradesh,12,Jaunpur,2016,153.46,359.4,2342.0,2263.78,78.22,78.22,3.34
Maharashtra,7,Dhule,2017,33.6,44.2,1315.48,1264.6,50.88,50.88,3.87
Maharashtra,7,Jalgaon,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haryana,4,Mahendragarh / Narnaul,2017,10.59,25.52,2410.96,2187.98,222.98,222.98,9.25
Haryana,4,Gurgaon,2015,59.0,138.0,2338.98,2323.05,15.93,15.93,0.68
Uttar Pradesh,12,Bahraich,2012,232.68,544.28,2339.18,2316.93,22.25,22.25,0.95
Karnataka,5,Mysore,2013,117.83,407.47,3458.12,3396.79,61.33,61.33,1.77
Uttar Pradesh,12,Budaun,2011,94.4,203.28,2153.34,2145.35,7.99,7.99,0.37
Gujarat,3,Rajkot,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jharkhand,15,Hazaribagh,2016,182.11,388.81,2135.06,2144.84,-9.78,9.78,0.46
Uttar Pradesh,12,Saharanpur,2010,73.61,150.25,2041.16,1943.16,98.0,98.0,4.8
West Bengal,13,Darjeeling,2013,32.16,72.3,2248.13,2121.3,126.83,126.83,5.64
Uttar Pradesh,12,Sitapur,2016,167.97,391.38,2330.0,2301.61,28.39,28.39,1.22
Bihar,2,Muzaffarpur,2013,294.37,275.92,937.32,938.88,-1.56,1.56,0.17
Uttar Pradesh,12,Jhansi,2017,10.21,16.22,1589.75,1383.91,205.84,205.84,12.95
Uttar Pradesh,12,Varanasi,2014,174.44,467.59,2680.52,2675.04,5.48,5.48,0.2
West Bengal,13,Purulia,2017,273.17,751.47,2750.89,2704.55,46.34,46.34,1.68
Karnataka,5,Bangalore,2015,5.97,14.64,2452.26,1961.21,491.05,491.05,20.02
Madhya Pradesh,6,Balaghat,2010,247.9,353.0,1423.96,1431.21,-7.25,7.25,0.51
Kerala,19,Kannur,2013,13.33,31.55,2367.13,2187.04,180.09,180.09,7.61
