State Name,Count,MAE,RMSE,Mean_Percentage_Error
Tamil Nadu,11,888.6490909090909,1806.1961741486143,21.02090909090909
Himachal Pradesh,22,706.3554545454546,973.2566317874139,47.68818181818181
Kerala,14,514.5742857142857,776.264116752245,21.077142857142857
Rajasthan,43,446.403023255814,876.1779421707166,24.153023255813952
Karnataka,32,435.8171875,854.4117384767575,19.4259375
Madhya Pradesh,60,360.67516666666666,680.1504267108858,24.845000000000002
Gujarat,25,216.0752,566.2236455112061,11.1972
Uttarakhand,12,149.4475,175.41093573377916,8.91
Maharashtra,42,136.6042857142857,313.7844946850655,16.689761904761905
Punjab,21,136.1347619047619,221.12766238403677,3.3733333333333335
Uttar Pradesh,68,107.31705882352941,270.90229667560527,5.682794117647059
Haryana,15,92.346,117.3112814410163,3.3353333333333333
Andhra Pradesh,17,85.38058823529411,115.78405094373394,2.8147058823529414
West Bengal,29,73.95793103448277,102.63188863855737,2.72448275862069
Telangana,21,72.1,89.68381199153687,2.3823809523809523
Jharkhand,9,70.41777777777777,111.0191575059608,4.09
Chhattisgarh,5,55.206,61.66725273595379,2.9299999999999997
Assam,20,54.414,81.53726712369011,2.901
Bihar,13,49.80461538461539,67.42861079576052,5.396923076923077
Orissa,15,39.64933333333333,53.26601743450822,2.924
